;token;referenceTo;POS;TAG;dep;idChar;lemma;speaker;entityType;idEntity;idDoc;idSent;idWord
0;dr_gaius_baltar I;dr_gaius_baltar;PRON;PRP;nsubj;[0, 1];I;dr_gaius_baltar;;1;BattlestarGalactica.Season01.Episode07;1;1
1;do;;AUX;VBP;aux;[2, 4];do;dr_gaius_baltar;;;BattlestarGalactica.Season01.Episode07;1;2
2;nt;;PART;RB;neg;[5, 7];nt;dr_gaius_baltar;;;BattlestarGalactica.Season01.Episode07;1;3
3;see;;VERB;VB;ROOT;[8, 11];see;dr_gaius_baltar;;;BattlestarGalactica.Season01.Episode07;1;4
4;the;;DET;DT;det;[12, 15];the;dr_gaius_baltar;;;BattlestarGalactica.Season01.Episode07;1;5
5;hand;;NOUN;NN;dobj;[16, 20];hand;dr_gaius_baltar;;;BattlestarGalactica.Season01.Episode07;1;6
6;of;;ADP;IN;prep;[21, 23];of;dr_gaius_baltar;;;BattlestarGalactica.Season01.Episode07;1;7
7;god;;PROPN;NNP;pobj;[24, 27];god;dr_gaius_baltar;;;BattlestarGalactica.Season01.Episode07;1;8
8;in;;ADV;RB;prep;[28, 30];in;dr_gaius_baltar;;;BattlestarGalactica.Season01.Episode07;1;9
9;here;;ADV;RB;pcomp;[31, 35];here;dr_gaius_baltar;;;BattlestarGalactica.Season01.Episode07;1;10
10;.;;PUNCT;.;punct;[36, 37];.;dr_gaius_baltar;;;BattlestarGalactica.Season01.Episode07;1;11
11;Could;;VERB;MD;aux;[38, 43];Could;dr_gaius_baltar;;;BattlestarGalactica.Season01.Episode07;1;12
12;I;dr_gaius_baltar;PRON;PRP;nsubj;[44, 45];I;dr_gaius_baltar;;2;BattlestarGalactica.Season01.Episode07;1;13
13;be;;AUX;VB;aux;[46, 48];be;dr_gaius_baltar;;;BattlestarGalactica.Season01.Episode07;1;14
14;looking;;VERB;VBG;ROOT;[49, 56];looking;dr_gaius_baltar;;;BattlestarGalactica.Season01.Episode07;1;15
15;in;;ADP;IN;prep;[57, 59];in;dr_gaius_baltar;;;BattlestarGalactica.Season01.Episode07;1;16
16;the;;DET;DT;det;[60, 63];the;dr_gaius_baltar;;;BattlestarGalactica.Season01.Episode07;1;17
17;wrong;;ADJ;JJ;amod;[64, 69];wrong;dr_gaius_baltar;;;BattlestarGalactica.Season01.Episode07;1;18
18;place;;NOUN;NN;pobj;[70, 75];place;dr_gaius_baltar;;;BattlestarGalactica.Season01.Episode07;1;19
