returning character killed off	1.0
foreign language episode title	Non
car seat	Non
baby	Non
child snatching	Non
man wears tighty whities	Non
car wash	Non
reflection in a rearview mirror	Non
isolation	Non
duct tape bandage	Non
amber alert	Non
fighting over a knife	Non
hole in fuel tank	Non
rolling a barrel	Non
close up of eye	Non
saying sorry for your loss	Non
buried treasure	Non
recreational vehicle	Non
lab apron	Non
exothermic reaction	Non
cordless phone	Non
male tears	Non
cut hand	Non
tracing a telephone call	Non
lying to husband	Non
911 call	Non
baby girl	Non
pickup truck	Non
attempted murder of husband	Non
wife tries to murder husband	Non
husband wife conflict	Non
kitchen knife	Non
cut with a knife	Non
knife attack	Non
barrel	Non
running out of gas	Non
death of brother in law	Non
murder of brother in law	Non
towing a car	Non
hiding under a car	Non
handshake	Non
handcuffed behind back	Non
buried money	Non
digging	Non
shot in the face	Non
shot in the leg	Non
shot in the thigh	Non
coordinates	Non
