unknown  We interrupt our scheduled programming to bring you breaking news.
jeff_maher  Good afternoon.
jeff_maher  In the last several minutes, KOB has received dozens of reports of what appears to be a crashed aircraft possibly two aircraft on Albuquerque's east side.
jeff_maher  As of yet, details are scarce, but callers describe witnessing an explosion overhead, followed by falling debris.
jeff_maher  Visible now toward crash
ashleigh_banfield  crash investigators with the National Transportation Safety Board are expected onsite as early as this evening.
Ashleigh_Banfield  But officials warn that, with a debris field of this magnitude, the investigation and
marla_tellez  and the cleanup may well stretch are now saying that the Boeing 737 was being rerouted or vectored through the airspace, which is standard procedure, according to a spokesman for the FAA.
Marla_Tellez  The eightseat King Air 350 was a charter flight operating out of Saint George, Utah, bound for Amarillo, Texas.
Emotional_Woman_(No_Más)  It sounded like hail. Like heavy hailstones.
Emotional_Woman_(No_Más)  It was just, um bumpbumpbump all over the neighborhood. indicating
ashleigh_banfield  indicating that the final death toll now stands at 167..
jeff_maher  167. This
jeff_maher  This midair collision has left many wondering how such an accident could take place in a system with so many safeguards.
marla_tellez  Allegations continue that the
Jeff_Maher  the collision The bombshell confirmation out of Oklahoma City today, as the FAA confirmed, it was, indeed, a lone air traffic controller's fateful mistake que el nombre del hombre es Donald
ashleigh_banfield  is Donald Margolis, a 19year veteran of the FAA's Air Route Traffic Control Center in Albuquerque. Margolis
marla_tellez  Margolis recently returned to work after a fiveweek absence, which was due to, quote, a personal loss.
jeff_maher  While it's now known that Margolis had recently lost a daughter Female Anchorto a drug
ashleigh_banfield  drug overdose a month before.
ashleigh_banfield  His troubled daughter Jane Margolis, aged 26, apparently had a long history of substance abuse.
ashleigh_banfield  friends of the family say the death of his only child hit Margolis particularly hard.
ashleigh_banfield  Coming as it did little more than a month before, many are questioning the timing of his return to work, and are wondering how much blame truly lies with those who let this grieving father sizzles
Pamela  I usually open with" So sorry you're here.
pamela  Where would you like to begin?
skyler_white  I really just need this quick and easy, you know?
skyler_white  As quick as something like this can be.
skyler_white  Okay
pamela  Okay.
pamela  Is that mutual?
pamela  Does your husband go along with that?
skyler_white  Does he know?
skyler_white  Well, I mean, he certainly knows we're separated, so
skyler_white  Has he moved out?
skyler_white  We're in the process of moving him out. Yeah
skyler_white  Yeah. Today
skyler_white  Today, hopefully.
skyler_white  And in the meantime, my my son and my daughter and I are staying with my sister.
pamela  So you've moved out?
skyler_white  Well, yes, just temporarily,
skyler_white  only so he could get his things.
skyler_white  That was supposed to happen last week, but then came the crash, and Oh
pamela  God. You weren't one of the Right
skyler_white  Yeah. Right
skyler_white  Right beneath the flight path.
skyler_white  And, um uh, we had debris land in our yard and all of our neighborhood, so Mmm
pamela  Terrible. Yeah
skyler_white  Yeah. Apparently
skyler_white  Apparently, even, um you know, parts of bodies, and so
skyler_white  so I certainly couldn't bring myself to
pamela  So awful.
skyler_white  I know.
skyler_white  Anyway, I was certainly not ready to move back,
skyler_white  but it's time.
skyler_white  And, um, I'm sure we're driving my sister and her husband up a wall.
pamela  Well, you definitely want to maintain residency in your actual home.
pamela  It just puts you in a better position in regards to custody.
pamela  Two children, you said?
skyler_white  Yes.
skyler_white  Holly here, and then I have a son in high school Walter Junior.
skyler_white  They need to stay with me.
pamela  Okay.
pamela  How long have you been married?
skyler_white  Sixteen years.
pamela  And it's not an apartment. It's a house that you live in?
pamela  Do you own outright? Do you have a mortgage?
skyler_white  Yes. There's definitely a mortgage. We
skyler_white  We have, um maybe 15 years on it.
pamela  What about other debts or assets?
pamela  Do you feel you have a good understanding of you and your husband's financial situation?
pamela  Is your husband employed?
skyler_white  You know what? Here's the thing.
skyler_white  I I'm really not looking for any, sort of, uh, loopholes or um I don't know just No
pamela  No. No loopholes.
pamela  I just intend that every one of my clients get a full and honest accounting of what it is they owe and what it is they own.
pamela  that end, I say let's leave no stone unturned.
pamela  You'd be amazed what I've seen partners hide from one another.
hank_schrader  doorbell rings
walter_white  knocking continues
hank_schrader  continues knocking continues Hank Hey, Walt? Hey. Hey, buddy, there you are.
hank_schrader  Listen, I, uh You know,
hank_schrader  It's, uhtime.
hank_schrader  The stiest week since 9/11, okay?
hank_schrader  Bar none.
