beto  clicks butane hissing straining screaming screaming continues He's
tortuga  still breathing.
tortuga  By
Tortuga  By the looks of him, he
tortuga  has no
tortuga  how close
tortuga  he came.
tortuga  I'm assuming Saul Goodman doesn't need to know.
tortuga  Mum's the
juan_bolsa  word. engine starts
juan_bolsa  recording playing * Old MacDonald had a farm * * EIEIO
tortuga  * humming
tortuga  on his farm he
Juan_Bolsa  he had a duck EIEIO With a
juan_bolsa  hmmhmm here And a quackquack there Here an oink, there a oink Everywhere
juan_bolsa  oinkoink Old MacDonald had a farm
tortuga  EIEIO * continues Son of a bitch.
tortuga  * stops Hang
juan_bolsa  Hang on, baby.
juan_bolsa  beeping
juan_bolsa  beeping line ringing Walt Hello.
juan_bolsa  Walt
juan_bolsa  Walt, are you
juan_bolsa  you in the house?
juan_bolsa  Oh, hey, Skyler.
tortuga  Yeah
tortuga  Yeah,
tortuga  it's me.
juan_bolsa  What What
juan_bolsa  the hell are you doing
tortuga  in there
juan_bolsa  there?
mike_ehrmantraut  I'm back. No.
skyler_white  not back
skyler_white  back.
skyler_white  Walt,
skyler_white  you're not back.
skyler_white  Get Get Get out of there.
walter_white  Well, it's it's my house, too, Skyler.
Skyler_White  I'm
walter_white  I'm staying.
walter_white  End of story.
skyler_white  We had an agreement. I
walter_white  I didn't agree
walter_white  to anything. No. No
skyler_white  No.
skyler_white  There's nothing to talk about.
skyler_white  I am not coming in there until you get
walter_white  out. Well suit
skyler_white  What is wrong with you?
walter_white  Skyler, I have every right to be here.
skyler_white  No, you don't.
skyler_white  You don't live here anymore.
skyler_white  We're getting a divorce.
walter_white  I don't agree to a divorce. It's
skyler_white  It's not up to you.
skyler_white  you don't get out of here right now, I'm going to call the police and I'm going to tell them everything.
skyler_white  I mean it,
skyler_white  It's ringing.
unknown  Operator #314B
unknown  #314B.
unknown  How
unknown  I help you
skyler_white  Yes, I I want to report a disturbance, please.
skyler_white  No, no, it's not
skyler_white  it's not exactly It's,
skyler_white  It's a domestic issue.
skyler_white  They're connecting me.
skyler_white  Right hand to God, I will tell
walter_white  Do what you have to do, Skyler.
walter_white  This family is everything to me
walter_white  Without it, I have nothing to lose.
skyler_white  Yes,
skyler_white  my name is Skyler White.
skyler_white  need police assistance at my home right away.
Skyler_White  My soontobe exhusband broke into my house, and I need an officer to come and remove him.
skyler_white  It's 308 Negra Arroyo Lane.
skyler_white  Okay.
skyler_white  Thank you.
walter_white_jr.  They're coming. car door slams
walter_white  slams Oh Dad's here?
walter_white_jr.  Dad.
walter_white  Hey
walter_white  chuckles
walter_white_jr.  Are you back for good
skyler_white  Why Why are you home so soon?
walter_white_jr.  I'm not.
walter_white  I am starving. How
walter_white  about a grilled cheese?
walter_white_jr.  Yeah, sure. You
walter_white  You want one, too? Walter
skyler_white  Walter, your dad and I have something we need to discuss.
skyler_white  When your sandwich is ready, I'll bring it to your to your room.
walter_white_jr.  Mom, can't it wait?
walter_white_jr.  I haven't seen Dad in, like, forever.
skyler_white  Walter Ooh
walter_white  Ooh. chuckling
walter_white  Mmm.
walter_white  chuckles Mmm.
walter_white_jr.  So are you gonna be at work tomorrow?
walter_white  Yeah, that's the plan.
officer_saxton  Hello, ma'am.
officer_saxton  We were called about a disturbance?
skyler_white  It's more of a trespassing situation, really, but Yeah, that was me.
walter_white_jr.  You called the cops on Dad?
skyler_white  I, uh I came home from work, and he was back.
skyler_white  He just moved back into the house. And
skyler_white  And I asked him to leave, but he won't listen.
skyler_white  I just I I want him out
skyler_white  I want him out of the house. Okay
officer_saxton  Okay, Mrs. White. There's a couple of questions I need to ask you right off of the bat.
officer_saxton  It's very important that you answer them honestly.
officer_saxton  Did he strike you?
skyler_white  No.
officer_saxton  Has he ever hit you
skyler_white  No. This
skyler_white  This is not about violence. This
skyler_white  This is about trespassing,
skyler_white  about him being here against my will. Okay
officer_saxton  Okay.
officer_saxton  Trespassing.
officer_saxton  You're divorced,
skyler_white  No, working on it
skyler_white  stammering Right now we're separated. Legally
officer_saxton  Legally separated?
skyler_white  Well, there's not a court order, if that's what you mean,
skyler_white  but we've been living apart for almost two weeks, give or take
skyler_white  I changed the locks.
skyler_white  Isn't that breaking and entering?
officer_saxton  Whose name is on the title to the house?
skyler_white  Both of
skyler_white  of us. It's jointly owned.
officer_saxton  We can't arrest a man for breaking into his own house,
officer_saxton  not without a court order requiring he stays away from
officer_saxton  unless he's threatened you or the kids in any way. baby
skyler_white  baby fussing No
skyler_white  physically,
skyler_white  but having him in the house is just
skyler_white  It's not a good thing.
skyler_white  Excuse me.
walter_white  I got her, honey.
walter_white  here. There
walter_white  There we go.
walter_white  You hungry?
walter_white  that was it.
walter_white  I'm sorry, Officer. Where were we? Officer
officer_saxton's_partner  Disagreements.
walter_white  Yeah, so we've had our share of that.
walter_white  Um, I I haven't I haven't been the most attentive
officer_saxton  husband lately. Mrs. White, would this be easier if we stepped outside for a minute?
skyler_white  No.
skyler_white  I'm fine right here.
officer_saxton  I'm gonna level with you, ma'am.
officer_saxton  If you want your husband out of the house, you're gonna have to help me out
officer_saxton  Is it possible maybe he's broken any laws that you know of
officer_saxton  Anything at all
officer_saxton  Anything that we can work with here, just tell me.
officer_saxton  Even if you've just got a suspicion of wrongdoing, I can work with that.
officer_saxton  I'll get him out of the house for you.
officer_saxton's_partner  What's your take on all this?
walter_white_jr.  It It's my mom's fault.
walter_white_jr.  I and it's because he didn't do anything.
walter_white_jr.  I don't know whyshe's b. My
walter_white_jr.  My My dad baby cries he is a great guy.
walter_white  Mrs
officer_saxton  Mrs. White?
officer_saxton  I'm sorry, ma'am.
officer_saxton  There's no legal basis for us to remove your husband from
officer_saxton  the house. Next time you feel like things are getting out of control, you should call this number.
officer_saxton  It's the family hotline.
officer_saxton  really look into some counseling.
officer_saxton's_partner  Best of luck to you folks.
walter_white  Listen, thank you, officers.
walter_white  We're sorry.
walter_white_jr.  Why do you got to
walter_white_jr.  Why do you got to do this to Dad?
walter_white  Junior. Wait. Come on.
walter_white  Don't blame your mother for this.
saul_goodman  He lives!
saul_goodman  Happy housewarming, kid.
saul_goodman  Don't look so glad to see me.
jesse_pinkman  Thanks.
saul_goodman  Interesting decor. It's
saul_goodman  It's, uh, subtle.
saul_goodman  whole minimalist thing never really blew my hair back, but hey.
saul_goodman  So, how are you doing?
saul_goodman  staying clean?
saul_goodman  I was kind of worried that you were back to old habits, since I didn't hear from you, you know
saul_goodman  Realize how stupid it is to ignore your counsel's phone calls?
saul_goodman  What if I was trying to warn you that the DEA was going to kick down your door?
saul_goodman  mean, what then,
jesse_pinkman  don't you spare me the sermon and get to why you're here?
saul_goodman  Fair enough.
saul_goodman  Remember the other day when I brought up the idea of you getting back in touch with your, uh, partner?
saul_goodman  Well, I kind of wanted to refloat that boat.
saul_goodman  I'm not suggesting that you yourself get back to cooking,
saul_goodman  I mean, you being in rehab and all. I
saul_goodman  I only want you to convince the master chef to do his
saul_goodman  his thing,
jesse_pinkman  what do
saul_goodman  you say? Sure, man. Whatever.
saul_goodman  Whatever what? I
saul_goodman  I mean, you going to call him
jesse_pinkman  I said I'll handle it.
jesse_pinkman  Now bounce, will you?
saul_goodman  Final thought.
saul_goodman  Look at this place.
saul_goodman  You're house poor. You got no bankroll.
saul_goodman  If you get the maestro cooking again, I'll make it worth your while.
saul_goodman  Call him.
jane_margolis  beeping Jane Hey, if you're trying to sell me something, I've got four little words for you
jane_margolis  do not call list.
jane_margolis  However, if you're cool, leave it at the beep.
hank_schrader  Yes, sir?
hank_schrader  Yeah, what's up
hank_schrader  That's great news, sir. Thank
hank_schrader  Thank you.
hank_schrader  Absolutely. You can bet on that
hank_schrader  Hey, listen, thanks again, sir. I really appreciate you stepping to the plate.
hank_schrader  Thank you.
steven_gomez  You going to keep me in suspense or what?
steven_gomez  What's the good news?
hank_schrader  Merkert called in a couple of favors.
hank_schrader  El Paso wants me back.
gustavo_fring  Aaah!
juan_bolsa  Hey
gustavo_fring  Hey, man, congrats, man. That's fantastic.
gustavo_fring  Thank
juan_bolsa  you. Yeah.
juan_bolsa  Yeah
juan_bolsa  Yeah. engine
juan_bolsa  engine starts Hello.
juan_bolsa  Man speaking Spanish bell dings speaking
juan_bolsa  Spanish beeping Hey, if you're trying to
juan_bolsa  to sell me something, I've got four little words for you do not call list.
gustavo_fring  However
juan_bolsa  However,
juan_bolsa  if you're cool, leave
juan_bolsa  it at the beep.
juan_bolsa  Hey, if
jane_margolis  you're trying to sell me something, I've got four little words for you do
jane_margolis  do not call list.
jane_margolis  However, if you're cool, leave it at the beep.
jane_margolis  Hey, if you're trying to sell me something, I've got four little words for you Mmm
jane_margolis  baby cries Oh, sweetheart. Oh, sweetie,
jane_margolis  I'm sorry. I'm sorry. It's okay.
jane_margolis  It's okay, my girl. Oh, yes. It's okay. It's okay. Mama's got you. Oh, Mama's got you, yeah. Yes. Oh. knocking
walter_white  Skyler,
walter_white  want some help?
walter_white  Skyler, can I use the bathroom?
pamela  What do you mean?
pamela  Against your will?
skyler_white  Skyler Yes
skyler_white  Very much against my will.
skyler_white  He just He
skyler_white  He He showed right back up,
skyler_white  and he he doesn't want a divorce.
skyler_white  Won't even consider it.
skyler_white  I called the police on him.
skyler_white  I I was I was so clo
pamela  So close to what?
skyler_white  Nothing.
skyler_white  Never
pamela  Skyler, I can't advise you properly if you don't give me all the facts.
pamela  Understand I am bound by the attorneyclient privilege to keep everything you tell me a secret.
pamela  I can't tell a soul unless you authorize me to.
skyler_white  Even if it's something illegal?
pamela  Especially if it's illegal.
pamela  I'm your lawyer, not the police.
pamela  My job is to protect you.
skyler_white  Methamphetamine
skyler_white  Methamphetamine.
pamela  Your husband's a drug dealer.
skyler_white  manufacturer. Technically,
skyler_white  they, uh,
skyler_white  they call them cooks.
skyler_white  I looked it up on the Internet.
pamela  This is my advice, and you should take it.
pamela  Sue your husband for divorce immediately.
pamela  Let me go to the police and tell them what you've just told me.
pamela  I'll go in ex parte and get a restraining order from the court today. If
pamela  If he comes anywhere near you and your children, he goes straight to jail,
pamela  no questions asked.
pamela  This is a nobrainer. It's
pamela  It's the best thing for you and your family.
skyler_white  it.
skyler_white  I don't want my son to find out that his father is a criminal.
skyler_white  I just I can't do that to him.
pamela  In the end, it may not be up to you.
pamela  Drug dealers have a way of getting caught.
skyler_white  Walt has lung cancer.
skyler_white  His treatment bought him some time,
skyler_white  but the doctors, they all say that sooner or later But I can't see why I should lay all this on my family whenthings may resolve themselves on their own without anyone else knowing.
steven_gomez  Man, did I lose a bet or something?
steven_gomez  we doing in this shithole? Just
hank_schrader  Relax?
steven_gomez  This is
steven_gomez  the kind of place you get knifed.
steven_gomez  We should have went to Chili's, man. All
hank_schrader  Outback Steakhouse. It's
hank_schrader  It's not
steven_gomez  too late
steven_gomez  late. They got
steven_gomez  got that Blooming Onion.
hank_schrader  with spicing things up a little
steven_gomez  This spice looks like it's been through a couple of guys already.
steven_gomez  So when are you headed back down to El Paso?
hank_schrader  you know,
hank_schrader  between the packing and errands and, uh, getting my ducks in a row, maybe, um, a week or two. A week
steven_gomez  two?
steven_gomez  Come on, man.
steven_gomez  I'd be dying to get back in the action.
hank_schrader  Yeah, well, it's not like there's nothing going on up here. What
steven_gomez  What are you talking about?
steven_gomez  There ain't jack going on up here
hank_schrader  It's quiet as hell.
hank_schrader  the head. Those two over there. I think they're holding. Man
steven_gomez  this place, the bartender's probably holding. All right. Whoa.
steven_gomez  Calling APD. What do you think? Since
hank_schrader  when can't we handle a couple of dirtballs? Come
steven_gomez  on, man. Courtesy
steven_gomez  Courtesy call.
steven_gomez  if Vice is running some kind if undercover op
hank_schrader  It's
hank_schrader  your turn to pay. Where are you going?
steven_gomez  I have
hank_schrader  to take a
steven_gomez  leak. J, get yourself some Flomax.
unknown  Do you got a problem with us, bitch?
hank_schrader  DEA!
hank_schrader  Go tell my partner to get his ass in here
jane_margolis  beeping Hey, if you're trying to sell me something, I've got four little words for you do
jane_margolis  do not call list.
jane_margolis  However, if you're cool, leave it at the beep.
jane_margolis  Hey, if you're trying to sell me something, I've got four little words for you
jane_margolis  do not call
unknown  tone We're sorry. You have reached a number that has been disconnected or is no longer in service. car horn beeps door opens, closes car door
steven_gomez  we talk? ASAC wants to see you
hank_schrader  And?
steven_gomez  We're hanging back. Saw a deal go down.
steven_gomez  I went outside to call it in
steven_gomez  You stayed to keep an eye on the suspects.
steven_gomez  That's when they attacked you.
steven_gomez  I didn't tell them is that you left your gun under the seat before you went back inside.
walter_white  I've done a terrible thing
walter_white  I did it for a good reason.
walter_white  I did it for us.
walter_white  That is college tuition for Walter Junior and Holly, Huh?
walter_white  Then it's health insurance for you and the kids,
walter_white  for Junior's physical therapy, his SAT tutor.
walter_white  It's money for groceries and gas, for birthdays and graduation parties.
walter_white  Skyler, that money is for this roof over your head, the mortgage that you are not going to be able to afford on a parttime bookkeeper's salary when I'm gone.
skyler_white  Walt
walter_white  This money I didn't steal it.
walter_white  it doesn't belong to anyone else.
walter_white  I earned it.
walter_white  to earn it the the things I've hato do, I've got to live with them.
walter_white  All that I've done, all the sacrifices that I have made for this family, all of that will be for nothing if you don't accept what I've earned.
walter_white  I'll be here when you get home from work.
walter_white  You can give me your answer then.
ted_beneke  Hey, Sky.
ted_beneke  Uh, some coffee?
ted_beneke  That report's looking real good.
ted_beneke  That I like how it looks.
skyler_white  Hi, Louis. Hey
louis_corbett  uh, thanks for having me over for dinner.
skyler_white  sure.
walter_white  Hey, Skyler.
walter_white  I'm, uh, cooking dinner.
walter_white  roast.
walter_white  could you
walter_white  day?
walter_white  I hope you don't mind. I invited Louis to stay for dinner tonight,
walter_white  you know, as a thank you for driving Walter Junior to school for us
walter_white  We've been kind of absent, but I tell you, Louis really pitched in.
walter_white  I just want to say that I I feel good about our talk this morning, and I'm I'm very eager to hear what you're thinking about about what we talked about.
walter_white  But, you know, whenever you're ready, of course
walter_white  Honesty is good.
walter_white  Don't you think?
skyler_white  Boys,
skyler_white  Louis?
louis_corbett  yes, please.
skyler_white  I want you boys both to eat your salad, okay? Okay. I know
skyler_white  likes salad, but it's good for you. Thanks
skyler_white  Thanks, darling.
