;Unnamed: 0;token;referenceTo;POS;TAG;dep;idChar;lemma;speaker;entityType;idEntity;idDoc;idSent;idWord;labelDoccano
0;0;xander_harris May;;VERB;MD;aux;[0, 3];May;xander_harris;;;BuffyTheVampireSlayer.Season01.Episode04;1.0;1.0;
1;1;I;xander_harris;PRON;PRP;nsubj;[4, 5];I;xander_harris;;1.0;BuffyTheVampireSlayer.Season01.Episode04;1.0;2.0;xander_harris
2;2;cut;;VERB;VB;ROOT;[6, 9];cut;xander_harris;;;BuffyTheVampireSlayer.Season01.Episode04;1.0;3.0;
3;3;in;;ADP;RP;prt;[10, 12];in;xander_harris;;;BuffyTheVampireSlayer.Season01.Episode04;1.0;4.0;
4;4;?;;PUNCT;.;punct;[13, 14];?;xander_harris;;;BuffyTheVampireSlayer.Season01.Episode04;1.0;5.0;
5;5;;;;;;;;;;;;;;
6;6;xander_harris You;buffy_summers;PRON;PRP;nsubj;[0, 3];You;xander_harris;;2.0;BuffyTheVampireSlayer.Season01.Episode04;2.0;1.0;buffy_summers
7;7;alright;;VERB;VBP;ROOT;[4, 11];alright;xander_harris;;;BuffyTheVampireSlayer.Season01.Episode04;2.0;2.0;
8;8;?;;PUNCT;.;punct;[12, 13];?;xander_harris;;;BuffyTheVampireSlayer.Season01.Episode04;2.0;3.0;
9;9;;;;;;;;;;;;;;
10;10;buffy_summers Thanks;;NOUN;NNS;ROOT;[0, 6];Thanks;buffy_summers;;;BuffyTheVampireSlayer.Season01.Episode04;3.0;1.0;
11;11;to;;ADP;IN;prep;[7, 9];to;buffy_summers;;;BuffyTheVampireSlayer.Season01.Episode04;3.0;2.0;
12;12;you;xander_harris;PRON;PRP;pobj;[10, 13];you;buffy_summers;;3.0;BuffyTheVampireSlayer.Season01.Episode04;3.0;3.0;xander_harris
13;13;!;;PUNCT;.;punct;[14, 15];!;buffy_summers;;;BuffyTheVampireSlayer.Season01.Episode04;3.0;4.0;
14;14;;;;;;;;;;;;;;
15;15;buffy_summers You;xander_harris;PRON;PRP;nsubj;[0, 3];You;buffy_summers;;4.0;BuffyTheVampireSlayer.Season01.Episode04;4.0;1.0;xander_harris
16;16;hurt;;VERB;VBP;ROOT;[4, 8];hurt;buffy_summers;;;BuffyTheVampireSlayer.Season01.Episode04;4.0;2.0;
17;17;your;xander_harris;DET;PRP$;poss;[9, 13];your;buffy_summers;;5.0;BuffyTheVampireSlayer.Season01.Episode04;4.0;3.0;xander_harris
18;18;hand;;NOUN;NN;dobj;[14, 18];hand;buffy_summers;;;BuffyTheVampireSlayer.Season01.Episode04;4.0;4.0;
19;19;!;;PUNCT;.;punct;[19, 20];!;buffy_summers;;;BuffyTheVampireSlayer.Season01.Episode04;4.0;5.0;
20;20;Will;;VERB;MD;aux;[21, 25];Will;buffy_summers;;;BuffyTheVampireSlayer.Season01.Episode04;4.0;6.0;
21;21;you;xander_harris;PRON;PRP;nsubj;[26, 29];you;buffy_summers;;6.0;BuffyTheVampireSlayer.Season01.Episode04;4.0;7.0;xander_harris
22;22;still;;ADV;RB;advmod;[30, 35];still;buffy_summers;;;BuffyTheVampireSlayer.Season01.Episode04;4.0;8.0;
23;23;be;;AUX;VB;ROOT;[36, 38];be;buffy_summers;;;BuffyTheVampireSlayer.Season01.Episode04;4.0;9.0;
24;24;able;;ADJ;JJ;acomp;[39, 43];able;buffy_summers;;;BuffyTheVampireSlayer.Season01.Episode04;4.0;10.0;
25;25;to;;PART;TO;xcomp;[44, 46];to;buffy_summers;;;BuffyTheVampireSlayer.Season01.Episode04;4.0;11.0;
26;26;...;;PUNCT;NFP;punct;[47, 50];...;buffy_summers;;;BuffyTheVampireSlayer.Season01.Episode04;4.0;12.0;
27;27;.;;PUNCT;.;punct;[51, 52];.;buffy_summers;;;BuffyTheVampireSlayer.Season01.Episode04;4.0;13.0;
28;28;;;;;;;;;;;;;;
29;29;xander_harris ...;;PUNCT;:;punct;[0, 3];...;xander_harris;;;BuffyTheVampireSlayer.Season01.Episode04;5.0;1.0;
30;30;finish;;VERB;VB;ROOT;[4, 10];finish;xander_harris;;;BuffyTheVampireSlayer.Season01.Episode04;5.0;2.0;
31;31;my;xander_harris;DET;PRP$;poss;[11, 13];my;xander_harris;;7.0;BuffyTheVampireSlayer.Season01.Episode04;5.0;3.0;xander_harris
32;32;solo;;NOUN;NN;dobj;[14, 18];solo;xander_harris;;;BuffyTheVampireSlayer.Season01.Episode04;5.0;4.0;
33;33;and;;CCONJ;CC;cc;[19, 22];and;xander_harris;;;BuffyTheVampireSlayer.Season01.Episode04;5.0;5.0;
34;34;kiss;;VERB;VB;conj;[23, 27];kiss;xander_harris;;;BuffyTheVampireSlayer.Season01.Episode04;5.0;6.0;
35;35;you;buffy_summers;PRON;PRP;dobj;[28, 31];you;xander_harris;;8.0;BuffyTheVampireSlayer.Season01.Episode04;5.0;7.0;buffy_summers
36;36;like;;SCONJ;IN;prep;[32, 36];like;xander_harris;;;BuffyTheVampireSlayer.Season01.Episode04;5.0;8.0;
37;37;you;buffy_summers;PRON;PRP;nsubjpass;[37, 40];you;xander_harris;;9.0;BuffyTheVampireSlayer.Season01.Episode04;5.0;9.0;buffy_summers
38;38;'ve;;AUX;VB;aux;[41, 44];'ve;xander_harris;;;BuffyTheVampireSlayer.Season01.Episode04;5.0;10.0;
39;39;never;;ADV;RB;neg;[45, 50];never;xander_harris;;;BuffyTheVampireSlayer.Season01.Episode04;5.0;11.0;
40;40;been;;AUX;VBN;auxpass;[51, 55];been;xander_harris;;;BuffyTheVampireSlayer.Season01.Episode04;5.0;12.0;
41;41;kissed;;VERB;VBN;conj;[56, 62];kissed;xander_harris;;;BuffyTheVampireSlayer.Season01.Episode04;5.0;13.0;
42;42;before;;ADV;RB;advmod;[63, 69];before;xander_harris;;;BuffyTheVampireSlayer.Season01.Episode04;5.0;14.0;
43;43;?;;PUNCT;.;punct;[70, 71];?;xander_harris;;;BuffyTheVampireSlayer.Season01.Episode04;5.0;15.0;
44;44;;;;;;;;;;;;;;
45;45;buffy_summers You;buffy_summers;PRON;PRP;nsubj;[0, 3];You;buffy_summers;;10.0;BuffyTheVampireSlayer.Season01.Episode04;6.0;1.0;buffy_summers
46;46;'re;;AUX;VBP;aux;[4, 7];'re;buffy_summers;;;BuffyTheVampireSlayer.Season01.Episode04;6.0;2.0;
47;47;drooling;;VERB;VBG;ROOT;[8, 16];drooling;buffy_summers;;;BuffyTheVampireSlayer.Season01.Episode04;6.0;3.0;
48;48;.;;PUNCT;.;punct;[17, 18];.;buffy_summers;;;BuffyTheVampireSlayer.Season01.Episode04;6.0;4.0;
49;49;;;;;;;;;;;;;;
50;50;buffy_summers Xander;xander_harris;PROPN;NNP;ROOT;[0, 6];Xander;buffy_summers;;11.0;BuffyTheVampireSlayer.Season01.Episode04;7.0;1.0;xander_harris
51;51;!;;PUNCT;.;punct;[7, 8];!;buffy_summers;;;BuffyTheVampireSlayer.Season01.Episode04;7.0;2.0;
52;52;;;;;;;;;;;;;;
53;53;buffy_summers You;dr_gregory;PRON;PRP;nsubj;[0, 3];You;buffy_summers;;12.0;BuffyTheVampireSlayer.Season01.Episode04;8.0;1.0;xander_harris
54;54;'ve;;AUX;VB;aux;[4, 7];'ve;buffy_summers;;;BuffyTheVampireSlayer.Season01.Episode04;8.0;2.0;
55;55;got;;VERB;VBN;ROOT;[8, 11];got;buffy_summers;;;BuffyTheVampireSlayer.Season01.Episode04;8.0;3.0;
56;56;a;;DET;DT;det;[12, 13];a;buffy_summers;;;BuffyTheVampireSlayer.Season01.Episode04;8.0;4.0;
57;57;little;;ADJ;JJ;dobj;[14, 20];little;buffy_summers;;;BuffyTheVampireSlayer.Season01.Episode04;8.0;5.0;
58;58;...;;PUNCT;NFP;punct;[21, 24];...;buffy_summers;;;BuffyTheVampireSlayer.Season01.Episode04;8.0;6.0;
59;59;.;;PUNCT;.;punct;[25, 26];.;buffy_summers;;;BuffyTheVampireSlayer.Season01.Episode04;8.0;7.0;
60;60;;;;;;;;;;;;;;
61;61;dr_gregory Their;;DET;PRP$;poss;[0, 5];Their;dr_gregory;;;BuffyTheVampireSlayer.Season01.Episode04;9.0;1.0;
62;62;ancestors;;NOUN;NNS;nsubj;[6, 15];ancestor;dr_gregory;;;BuffyTheVampireSlayer.Season01.Episode04;9.0;2.0;
63;63;were;;AUX;VBD;ROOT;[16, 20];were;dr_gregory;;;BuffyTheVampireSlayer.Season01.Episode04;9.0;3.0;
64;64;here;;ADV;RB;advmod;[21, 25];here;dr_gregory;;;BuffyTheVampireSlayer.Season01.Episode04;9.0;4.0;
65;65;long;;ADV;RB;advmod;[26, 30];long;dr_gregory;;;BuffyTheVampireSlayer.Season01.Episode04;9.0;5.0;
66;66;before;;ADP;IN;mark;[31, 37];before;dr_gregory;;;BuffyTheVampireSlayer.Season01.Episode04;9.0;6.0;
67;67;we;multiple_persons;PRON;PRP;nsubj;[38, 40];we;dr_gregory;;13.0;BuffyTheVampireSlayer.Season01.Episode04;9.0;7.0;multiple_persons
68;68;were;;AUX;VBD;advcl;[41, 45];were;dr_gregory;;;BuffyTheVampireSlayer.Season01.Episode04;9.0;8.0;
69;69;.;;PUNCT;.;punct;[46, 47];.;dr_gregory;;;BuffyTheVampireSlayer.Season01.Episode04;9.0;9.0;
70;70;Their;;DET;PRP$;poss;[48, 53];Their;dr_gregory;;;BuffyTheVampireSlayer.Season01.Episode04;9.0;10.0;
71;71;progeny;;NOUN;NN;nsubj;[54, 61];progeny;dr_gregory;;;BuffyTheVampireSlayer.Season01.Episode04;9.0;11.0;
72;72;will;;VERB;MD;aux;[62, 66];will;dr_gregory;;;BuffyTheVampireSlayer.Season01.Episode04;9.0;12.0;
73;73;be;;AUX;VB;ROOT;[67, 69];be;dr_gregory;;;BuffyTheVampireSlayer.Season01.Episode04;9.0;13.0;
74;74;here;;ADV;RB;advmod;[70, 74];here;dr_gregory;;;BuffyTheVampireSlayer.Season01.Episode04;9.0;14.0;
75;75;long;;ADV;RB;advmod;[75, 79];long;dr_gregory;;;BuffyTheVampireSlayer.Season01.Episode04;9.0;15.0;
76;76;after;;ADP;IN;mark;[80, 85];after;dr_gregory;;;BuffyTheVampireSlayer.Season01.Episode04;9.0;16.0;
77;77;we;multiple_persons;PRON;PRP;nsubjpass;[86, 88];we;dr_gregory;;14.0;BuffyTheVampireSlayer.Season01.Episode04;9.0;17.0;multiple_persons
78;78;are;;AUX;VBP;auxpass;[89, 92];are;dr_gregory;;;BuffyTheVampireSlayer.Season01.Episode04;9.0;18.0;
79;79;gone;;VERB;VBN;advcl;[93, 97];gone;dr_gregory;;;BuffyTheVampireSlayer.Season01.Episode04;9.0;19.0;
80;80;.;;PUNCT;.;punct;[98, 99];.;dr_gregory;;;BuffyTheVampireSlayer.Season01.Episode04;9.0;20.0;
81;81;The;;DET;DT;det;[100, 103];The;dr_gregory;;;BuffyTheVampireSlayer.Season01.Episode04;9.0;21.0;
82;82;simple;;ADJ;JJ;amod;[104, 110];simple;dr_gregory;;;BuffyTheVampireSlayer.Season01.Episode04;9.0;22.0;
83;83;and;;CCONJ;CC;cc;[111, 114];and;dr_gregory;;;BuffyTheVampireSlayer.Season01.Episode04;9.0;23.0;
84;84;ubiquitous;;ADJ;JJ;conj;[115, 125];ubiquitous;dr_gregory;;;BuffyTheVampireSlayer.Season01.Episode04;9.0;24.0;
85;85;ant;;NOUN;NN;ROOT;[126, 129];ant;dr_gregory;;;BuffyTheVampireSlayer.Season01.Episode04;9.0;25.0;
86;86;.;;PUNCT;.;punct;[130, 131];.;dr_gregory;;;BuffyTheVampireSlayer.Season01.Episode04;9.0;26.0;
87;87;;;;;;;;;;;;;;
88;88;dr_gregory Now;;ADV;RB;ROOT;[0, 3];Now;dr_gregory;;;BuffyTheVampireSlayer.Season01.Episode04;10.0;1.0;
89;89;.;;PUNCT;.;punct;[4, 5];.;dr_gregory;;;BuffyTheVampireSlayer.Season01.Episode04;10.0;2.0;
90;90;If;;SCONJ;IN;mark;[6, 8];If;dr_gregory;;;BuffyTheVampireSlayer.Season01.Episode04;10.0;3.0;
91;91;you;dr_gregory;PRON;PRP;nsubj;[9, 12];you;dr_gregory;;15.0;BuffyTheVampireSlayer.Season01.Episode04;10.0;4.0;multiple_persons
