	idSent	idChar	label
0	1	[0, 7]	UNKNOWN
1	2	[4, 10]	buffy_summers
2	3	[25, 27]	UNKNOWN
3	3	[69, 72]	UNKNOWN
4	3	[105, 107]	the_master
5	3	[133, 139]	collin
6	3	[153, 156]	collin
7	3	[0, 7]	UNKNOWN
8	3	[56, 62]	buffy_summers
9	3	[80, 83]	buffy_summers
10	4	[0, 1]	collin
11	4	[16, 19]	buffy_summers
12	5		
13	6	[4, 6]	darla
14	6	[15, 21]	the_master
15	6	[28, 30]	darla
16	6	[44, 47]	the_master
17	6	[36, 39]	buffy_summers
18	7	[0, 3]	darla
19	8	[0, 1]	darla
20	9	[0, 1]	the_master
21	10		
22	11		
23	12	[0, 1]	girl_2
24	13		
25	14		
26	15		
27	16		
28	17		
29	18	[47, 50]	buffy_summers
30	19	[0, 1]	buffy_summers
31	19	[19, 20]	buffy_summers
32	20	[5, 7]	multiple_persons
33	21	[24, 26]	multiple_persons
34	21	[94, 96]	multiple_persons
35	22	[0, 3]	buffy_summers
36	23	[0, 1]	buffy_summers
37	23	[26, 28]	buffy_summers
38	24	[11, 16]	angel
39	25	[0, 5]	angel
40	25	[8, 9]	buffy_summers
41	25	[88, 89]	buffy_summers
42	25	[23, 26]	angel
43	25	[54, 59]	angel
44	25	[62, 65]	angel
45	25	[98, 101]	angel
46	26	[0, 2]	angel
47	27	[66, 69]	willow_rosenberg
48	27	[5, 7]	angel
49	28		
50	29	[6, 11]	UNKNOWN
51	29	[14, 18]	UNKNOWN
52	30	[18, 22]	xander_harris
53	30	[46, 48]	cordelia_chase
54	31	[0, 1]	xander_harris
55	31	[13, 14]	xander_harris
56	32	[39, 44]	UNKNOWN
57	32	[45, 49]	UNKNOWN
58	32	[72, 75]	xander_harris
59	33	[8, 11]	cordelia_chase
60	34		
61	35		
62	36		
63	37	[15, 16]	xander_harris
64	37	[88, 91]	cordelia_chase
65	38	[11, 19]	cordelia_chase
66	38	[63, 66]	multiple_persons
67	39	[29, 32]	multiple_persons
68	39	[51, 53]	multiple_persons
69	40	[56, 57]	xander_harris
70	41	[14, 15]	buffy_summers
71	41	[55, 57]	buffy_summers
72	41	[60, 61]	buffy_summers
73	42		
74	43	[26, 28]	multiple_persons
75	44		
76	45		
77	46	[13, 14]	buffy_summers
78	46	[30, 31]	buffy_summers
79	46	[63, 71]	UNKNOWN
80	47		
81	48		
82	49	[23, 24]	buffy_summers
83	49	[79, 80]	buffy_summers
84	49	[64, 67]	multiple_persons
85	50		
86	51		
87	52		
88	53		
89	54		
90	55	[0, 1]	buffy_summers
91	55	[30, 31]	buffy_summers
92	55	[70, 71]	buffy_summers
93	55	[113, 117]	angel
94	55	[129, 133]	angel
95	56	[14, 15]	buffy_summers
96	56	[26, 29]	angel
97	56	[51, 54]	angel
98	57	[0, 1]	angel
99	57	[16, 17]	angel
100	58	[5, 8]	angel
101	58	[28, 30]	buffy_summers
102	58	[33, 34]	buffy_summers
103	58	[57, 60]	angel
104	59	[10, 11]	angel
105	60	[0, 3]	angel
106	60	[9, 11]	buffy_summers
107	60	[14, 17]	angel
108	60	[68, 69]	buffy_summers
109	60	[84, 85]	buffy_summers
110	60	[129, 132]	angel
111	60	[152, 153]	buffy_summers
112	60	[26, 33]	angel
113	60	[34, 37]	angel
114	61	[6, 7]	angel
115	61	[13, 16]	buffy_summers
116	62		
117	63	[14, 17]	buffy_summers
118	64		
119	65	[4, 5]	buffy_summers
120	65	[28, 31]	joyce_summers
121	65	[56, 59]	joyce_summers
122	66	[0, 1]	joyce_summers
123	66	[7, 9]	multiple_persons
124	66	[33, 36]	buffy_summers
125	67	[23, 26]	joyce_summers
126	67	[62, 63]	buffy_summers
127	67	[74, 77]	joyce_summers
128	68	[24, 27]	buffy_summers
129	69	[42, 45]	UNKNOWN
130	70		
131	71		
132	72	[21, 26]	angel
133	72	[42, 44]	buffy_summers
134	72	[65, 70]	angel
135	72	[78, 80]	multiple_persons
136	72	[45, 48]	joyce_summers
137	72	[51, 54]	joyce_summers
138	73	[13, 16]	angel
139	74	[17, 22]	angel
140	74	[8, 11]	angel
141	75	[54, 59]	angel
142	75	[76, 78]	buffy_summers
143	75	[84, 86]	buffy_summers
144	75	[97, 100]	joyce_summers
145	75	[106, 107]	buffy_summers
146	75	[0, 2]	angel
147	76	[35, 36]	joyce_summers
148	76	[70, 75]	buffy_summers
149	77	[0, 1]	buffy_summers
150	78	[20, 23]	angel
151	79	[13, 15]	multiple_persons
152	80	[7, 8]	angel
153	80	[26, 29]	buffy_summers
154	81	[4, 5]	buffy_summers
155	81	[23, 26]	angel
156	81	[92, 94]	multiple_persons
157	81	[144, 147]	angel
158	81	[172, 175]	angel
159	82	[0, 1]	angel
160	83		
161	84	[13, 15]	angel
162	84	[18, 19]	angel
163	85	[28, 31]	angel
164	85	[98, 102]	angel
165	85	[121, 122]	buffy_summers
166	86	[0, 1]	angel
167	87	[9, 10]	buffy_summers
168	87	[37, 39]	buffy_summers
169	87	[78, 82]	angel
170	88		
171	89	[17, 21]	angel
172	89	[38, 42]	angel
173	90		
174	91		
175	92	[0, 1]	angel
176	93	[0, 1]	buffy_summers
177	94		
178	95	[33, 36]	angel
