;token;referenceTo;POS;TAG;dep;idChar;lemma;speaker;entityType;idEntity;idDoc;idSent;idWord
0;Moloch Carlo;;PROPN;NNP;ROOT;[0, 5];Carlo;Moloch;;;BuffyTheVampireSlayer.Season01.Episode08;1;1
1;,;;PUNCT;,;punct;[6, 7];,;Moloch;;;BuffyTheVampireSlayer.Season01.Episode08;1;2
2;caro;;PROPN;NNP;compound;[8, 12];caro;Moloch;;;BuffyTheVampireSlayer.Season01.Episode08;1;3
3;mio;;PROPN;NNP;appos;[13, 16];mio;Moloch;;;BuffyTheVampireSlayer.Season01.Episode08;1;4
4;.;;PUNCT;.;punct;[17, 18];.;Moloch;;;BuffyTheVampireSlayer.Season01.Episode08;1;5
5;;;;;;;;;;;;;
6;Translation Carlo;;PROPN;NNP;ROOT;[0, 5];Carlo;Translation;;;BuffyTheVampireSlayer.Season01.Episode08;2;1
7;,;;PUNCT;,;punct;[6, 7];,;Translation;;;BuffyTheVampireSlayer.Season01.Episode08;2;2
8;my;Translation;DET;PRP$;poss;[8, 10];my;Translation;;1;BuffyTheVampireSlayer.Season01.Episode08;2;3
9;dear;;ADJ;JJ;amod;[11, 15];dear;Translation;;;BuffyTheVampireSlayer.Season01.Episode08;2;4
10;one;;NOUN;NN;appos;[16, 19];one;Translation;CARDINAL;;BuffyTheVampireSlayer.Season01.Episode08;2;5
11;.;;PUNCT;.;punct;[20, 21];.;Translation;;;BuffyTheVampireSlayer.Season01.Episode08;2;6
12;;;;;;;;;;;;;
13;Moloch Mi;;PROPN;NNP;nsubj;[0, 2];Mi;Moloch;;;BuffyTheVampireSlayer.Season01.Episode08;3;1
14;ami;;PROPN;NNP;ROOT;[3, 6];ami;Moloch;;;BuffyTheVampireSlayer.Season01.Episode08;3;2
15;?;;PUNCT;.;punct;[7, 8];?;Moloch;;;BuffyTheVampireSlayer.Season01.Episode08;3;3
16;Ti;;PROPN;NNP;compound;[9, 11];Ti;Moloch;;;BuffyTheVampireSlayer.Season01.Episode08;3;4
17;darò;;NOUN;NN;compound;[12, 16];darò;Moloch;;;BuffyTheVampireSlayer.Season01.Episode08;3;5
18;tutto;;NOUN;NN;ROOT;[17, 22];tutto;Moloch;;;BuffyTheVampireSlayer.Season01.Episode08;3;6
19;.;;PUNCT;.;punct;[23, 24];.;Moloch;;;BuffyTheVampireSlayer.Season01.Episode08;3;7
20;Tutto;;PROPN;NNP;compound;[25, 30];Tutto;Moloch;;;BuffyTheVampireSlayer.Season01.Episode08;3;8
21;quello;;NOUN;NN;ROOT;[31, 37];quello;Moloch;;;BuffyTheVampireSlayer.Season01.Episode08;3;9
