prequel	1.0
cylon	Non
explosion	Non
avatar	Non
nightclub	Non
lesbian kiss	Non
bribing a judge	Non
blink	Non
lost in thought	Non
encoded message	Non
subway	Non
playing tennis	Non
grief	Non
high school friends	Non
religious school	Non
husband wife relationship	Non
suicide bomber	Non
strapped to a bomb	Non
loss of daughter	Non
virgin sacrifice	Non
terrorism	Non
tennis	Non
self awareness	Non
robot	Non
polytheism	Non
flash forward	Non
fistfight	Non
explosive vest	Non
death of loved one	Non
commuter train	Non
bombing	Non
bail hearing	Non
artificial intelligence	Non
bare chested male	Non
bare breasts	Non
shot in the chest	Non
schoolgirl uniform	Non
knife	Non
dancing	Non
christian subtext	Non
virtual reality	Non
tv series pilot	Non
topless dancing	Non
teenage sexuality	Non
rave	Non
lap dancer	Non
female nudity	Non
