#these episodes have been removed from the data set.
uri,speech_time_in_seconds
ER.Season01.Episode03,131.67999999999626
ER.Season01.Episode04,144.46000000000103
ER.Season01.Episode05,135.01999999999555
ER.Season01.Episode06,127.12000000000407
ER.Season01.Episode07,125.83000000000015
ER.Season01.Episode08,129.98000000000258
ER.Season01.Episode09,134.58000000000413
ER.Season01.Episode10,132.13000000000716
ER.Season01.Episode11,120.33999999999769
ER.Season01.Episode12,129.0700000000039
ER.Season01.Episode13,153.08000000000294
ER.Season01.Episode14,141.23000000000536
ER.Season01.Episode15,157.4100000000059
ER.Season01.Episode16,141.5199999999963
ER.Season01.Episode17,133.6400000000097
ER.Season01.Episode18,150.26000000000354
ER.Season01.Episode19,145.33000000000393
ER.Season01.Episode20,141.4499999999994
ER.Season01.Episode21,128.51999999999728
ER.Season01.Episode22,127.1400000000013
ER.Season01.Episode23,157.14000000000237
ER.Season01.Episode24,143.42999999999358
ER.Season01.Episode25,128.93999999999693
ER.Season04.Episode01,218.3700000000107
ER.Season04.Episode02,205.44000000000077
ER.Season04.Episode03,200.3200000000003
ER.Season04.Episode04,209.27999999999832
ER.Season05.Episode10,191.940000000007
ER.Season05.Episode11,202.3100000000067
ER.Season05.Episode12,184.55000000000518
ER.Season05.Episode13,163.25000000000335
ER.Season05.Episode14,158.43999999999247
ER.Season05.Episode15,157.27000000000353
ER.Season05.Episode16,169.41999999999652
ER.Season05.Episode17,187.57000000000227
ER.Season05.Episode18,179.60000000000062
ER.Season10.Episode02,332.2399999999984
ER.Season11.Episode14,181.87000000000307
ER.Season11.Episode15,194.68000000000137
ER.Season14.Episode14,160.26000000000292
ER.Season14.Episode15,190.26000000000946
ER.Season14.Episode16,188.81999999999752
ER.Season14.Episode17,155.9000000000131
ER.Season14.Episode18,176.78000000000628
ER.Season14.Episode19,189.92000000000954
