;token;referenceTo;POS;TAG;dep;idChar;lemma;speaker;entityType;idEntity;idDoc;idSent;idWord
0;rachel_green That;;DET;DT;nsubj;[0, 4];That;rachel_green;;;Friends.Season01.Episode13;1;1
1;is;;AUX;VBZ;ROOT;[5, 7];is;rachel_green;;;Friends.Season01.Episode13;1;2
2;it;;PRON;PRP;attr;[8, 10];it;rachel_green;;;Friends.Season01.Episode13;1;3
3;!;;PUNCT;.;punct;[11, 12];!;rachel_green;;;Friends.Season01.Episode13;1;4
4;You;;PRON;PRP;nsubj;[13, 16];You;rachel_green;;;Friends.Season01.Episode13;1;5
5;just;;ADV;RB;advmod;[17, 21];just;rachel_green;;;Friends.Season01.Episode13;1;6
6;barge;;VERB;VBP;ccomp;[22, 27];barge;rachel_green;;;Friends.Season01.Episode13;1;7
7;in;;ADV;RB;prep;[28, 30];in;rachel_green;;;Friends.Season01.Episode13;1;8
8;here;;ADV;RB;pcomp;[31, 35];here;rachel_green;;;Friends.Season01.Episode13;1;9
9;,;;PUNCT;,;punct;[36, 37];,;rachel_green;;;Friends.Season01.Episode13;1;10
10;you;;PRON;PRP;nsubj;[38, 41];you;rachel_green;;;Friends.Season01.Episode13;1;11
11;do;;AUX;VBP;aux;[42, 44];do;rachel_green;;;Friends.Season01.Episode13;1;12
12;n't;;PART;RB;neg;[45, 48];n't;rachel_green;;;Friends.Season01.Episode13;1;13
13;knock;;VERB;VB;ROOT;[49, 54];knock;rachel_green;;;Friends.Season01.Episode13;1;14
14;.;;PUNCT;.;punct;[55, 56];.;rachel_green;;;Friends.Season01.Episode13;1;15
15;;;;;;;;;;;;;
16;chandler_bing I;chandler_bing;PRON;PRP;nsubj;[0, 1];I;chandler_bing;;1;Friends.Season01.Episode13;2;1
17;'m;;AUX;VBP;ROOT;[2, 4];'m;chandler_bing;;;Friends.Season01.Episode13;2;2
18;sorry;;ADJ;JJ;acomp;[5, 10];sorry;chandler_bing;;;Friends.Season01.Episode13;2;3
19;!;;PUNCT;.;punct;[11, 12];!;chandler_bing;;;Friends.Season01.Episode13;2;4
20;;;;;;;;;;;;;
21;rachel_green You;chandler_bing;PRON;PRP;nsubj;[0, 3];You;rachel_green;;2;Friends.Season01.Episode13;3;1
22;have;;AUX;VBP;ROOT;[4, 8];have;rachel_green;;;Friends.Season01.Episode13;3;2
23;no;;DET;DT;det;[9, 11];no;rachel_green;;;Friends.Season01.Episode13;3;3
24;respect;;NOUN;NN;dobj;[12, 19];respect;rachel_green;;;Friends.Season01.Episode13;3;4
25;for;;ADP;IN;prep;[20, 23];for;rachel_green;;;Friends.Season01.Episode13;3;5
26;anybody;;PRON;NN;poss;[24, 31];anybody;rachel_green;;;Friends.Season01.Episode13;3;6
27;'s;;PART;POS;case;[32, 34];'s;rachel_green;;;Friends.Season01.Episode13;3;7
28;privacy;;NOUN;NN;pobj;[35, 42];privacy;rachel_green;;;Friends.Season01.Episode13;3;8
29;!;;PUNCT;.;punct;[43, 44];!;rachel_green;;;Friends.Season01.Episode13;3;9
30;;;;;;;;;;;;;
31;chandler_bing Rachel;rachel_green;PROPN;NNP;dobj;[0, 6];Rachel;chandler_bing;PERSON;3;Friends.Season01.Episode13;4;1
32;,;;PUNCT;,;punct;[7, 8];,;chandler_bing;;;Friends.Season01.Episode13;4;2
33;wait;;VERB;VB;ccomp;[9, 13];wait;chandler_bing;;;Friends.Season01.Episode13;4;3
34;,;;PUNCT;,;punct;[14, 15];,;chandler_bing;;;Friends.Season01.Episode13;4;4
35;wait;;VERB;VB;ROOT;[16, 20];wait;chandler_bing;;;Friends.Season01.Episode13;4;5
36;.;;PUNCT;.;punct;[21, 22];.;chandler_bing;;;Friends.Season01.Episode13;4;6
37;;;;;;;;;;;;;
38;rachel_green No;;INTJ;UH;intj;[0, 2];No;rachel_green;;;Friends.Season01.Episode13;5;1
39;,;;PUNCT;,;punct;[3, 4];,;rachel_green;;;Friends.Season01.Episode13;5;2
40;you;chandler_bing;PRON;PRP;nsubj;[5, 8];you;rachel_green;;4;Friends.Season01.Episode13;5;3
41;wait;;VERB;VBP;ROOT;[9, 13];wait;rachel_green;;;Friends.Season01.Episode13;5;4
42;!;;PUNCT;.;punct;[14, 15];!;rachel_green;;;Friends.Season01.Episode13;5;5
43;This;;DET;DT;nsubj;[16, 20];This;rachel_green;;;Friends.Season01.Episode13;5;6
44;is;;AUX;VBZ;ROOT;[21, 23];is;rachel_green;;;Friends.Season01.Episode13;5;7
45;ridiculous;;ADJ;JJ;acomp;[24, 34];ridiculous;rachel_green;;;Friends.Season01.Episode13;5;8
46;!;;PUNCT;.;punct;[35, 36];!;rachel_green;;;Friends.Season01.Episode13;5;9
47;;;;;;;;;;;;;
48;chandler_bing Can;;VERB;MD;aux;[0, 3];Can;chandler_bing;;;Friends.Season01.Episode13;6;1
49;I;chandler_bing;PRON;PRP;nsubj;[4, 5];I;chandler_bing;;5;Friends.Season01.Episode13;6;2
50;just;;ADV;RB;advmod;[6, 10];just;chandler_bing;;;Friends.Season01.Episode13;6;3
51;say;;VERB;VB;ROOT;[11, 14];say;chandler_bing;;;Friends.Season01.Episode13;6;4
52;one;;NUM;CD;nummod;[15, 18];one;chandler_bing;CARDINAL;;Friends.Season01.Episode13;6;5
53;thing;;NOUN;NN;dobj;[19, 24];thing;chandler_bing;;;Friends.Season01.Episode13;6;6
54;?;;PUNCT;.;punct;[25, 26];?;chandler_bing;;;Friends.Season01.Episode13;6;7
55;;;;;;;;;;;;;
56;rachel_green What;;PRON;WP;ROOT;[0, 4];What;rachel_green;;;Friends.Season01.Episode13;7;1
57;?;;PUNCT;.;punct;[5, 6];?;rachel_green;;;Friends.Season01.Episode13;7;2
58;What;;PRON;WP;ROOT;[7, 11];What;rachel_green;;;Friends.Season01.Episode13;7;3
59;?;;PUNCT;.;punct;[12, 13];?;rachel_green;;;Friends.Season01.Episode13;7;4
60;!;;PUNCT;.;punct;[14, 15];!;rachel_green;;;Friends.Season01.Episode13;7;5
61;;;;;;;;;;;;;
62;chandler_bing That;;DET;DT;nsubj;[0, 4];That;chandler_bing;;;Friends.Season01.Episode13;8;1
63;'s;;AUX;VBZ;ROOT;[5, 7];'s;chandler_bing;;;Friends.Season01.Episode13;8;2
64;a;;DET;DT;det;[8, 9];a;chandler_bing;;;Friends.Season01.Episode13;8;3
65;relatively;;ADV;RB;advmod;[10, 20];relatively;chandler_bing;;;Friends.Season01.Episode13;8;4
66;open;;ADJ;JJ;amod;[21, 25];open;chandler_bing;;;Friends.Season01.Episode13;8;5
67;weave;;NOUN;NN;attr;[26, 31];weave;chandler_bing;;;Friends.Season01.Episode13;8;6
68;and;;CCONJ;CC;cc;[32, 35];and;chandler_bing;;;Friends.Season01.Episode13;8;7
69;I;chandler_bing;PRON;PRP;nsubj;[36, 37];I;chandler_bing;;6;Friends.Season01.Episode13;8;8
70;can;;VERB;MD;aux;[38, 41];can;chandler_bing;;;Friends.Season01.Episode13;8;9
71;still;;ADV;RB;advmod;[42, 47];still;chandler_bing;;;Friends.Season01.Episode13;8;10
72;see;;VERB;VB;conj;[48, 51];see;chandler_bing;;;Friends.Season01.Episode13;8;11
73;your;rachel_green;DET;PRP$;poss;[52, 56];your;chandler_bing;;7;Friends.Season01.Episode13;8;12
74;...;;PUNCT;:;punct;[57, 60];...;chandler_bing;;;Friends.Season01.Episode13;8;13
75;nipular;;ADJ;JJ;amod;[61, 68];nipular;chandler_bing;;;Friends.Season01.Episode13;8;14
76;areas;;NOUN;NNS;dobj;[69, 74];area;chandler_bing;;;Friends.Season01.Episode13;8;15
77;.;;PUNCT;.;punct;[75, 76];.;chandler_bing;;;Friends.Season01.Episode13;8;16
78;;;;;;;;;;;;;
79;rachel_green Oh;;INTJ;UH;ROOT;[0, 2];Oh;rachel_green;;;Friends.Season01.Episode13;9;1
80;!;;PUNCT;.;punct;[3, 4];!;rachel_green;;;Friends.Season01.Episode13;9;2
81;!;;PUNCT;.;punct;[5, 6];!;rachel_green;;;Friends.Season01.Episode13;9;3
82;;;;;;;;;;;;;
83;phoebe_buffay Oh;;INTJ;UH;intj;[0, 2];Oh;phoebe_buffay;;;Friends.Season01.Episode13;10;1
84;,;;PUNCT;,;punct;[3, 4];,;phoebe_buffay;;;Friends.Season01.Episode13;10;2
85;honey;;NOUN;NN;npadvmod;[5, 10];honey;phoebe_buffay;;;Friends.Season01.Episode13;10;3
86;,;;PUNCT;,;punct;[11, 12];,;phoebe_buffay;;;Friends.Season01.Episode13;10;4
87;honey;;NOUN;NN;appos;[13, 18];honey;phoebe_buffay;;;Friends.Season01.Episode13;10;5
88;,;;PUNCT;,;punct;[19, 20];,;phoebe_buffay;;;Friends.Season01.Episode13;10;6
89;tell;;VERB;VB;ROOT;[21, 25];tell;phoebe_buffay;;;Friends.Season01.Episode13;10;7
90;them;;PRON;PRP;dative;[26, 30];them;phoebe_buffay;;;Friends.Season01.Episode13;10;8
91;the;;DET;DT;det;[31, 34];the;phoebe_buffay;;;Friends.Season01.Episode13;10;9
92;story;;NOUN;NN;dobj;[35, 40];story;phoebe_buffay;;;Friends.Season01.Episode13;10;10
93;about;;ADP;IN;prep;[41, 46];about;phoebe_buffay;;;Friends.Season01.Episode13;10;11
94;your;rachel_green;DET;PRP$;poss;[47, 51];your;phoebe_buffay;;8;Friends.Season01.Episode13;10;12
95;patient;;NOUN;NN;pobj;[52, 59];patient;phoebe_buffay;;;Friends.Season01.Episode13;10;13
96;who;;PRON;WP;nsubj;[60, 63];who;phoebe_buffay;;;Friends.Season01.Episode13;10;14
97;thinks;;VERB;VBZ;relcl;[64, 70];think;phoebe_buffay;;;Friends.Season01.Episode13;10;15
98;things;;NOUN;NNS;nsubj;[71, 77];thing;phoebe_buffay;;;Friends.Season01.Episode13;10;16
99;are;;AUX;VBP;ccomp;[78, 81];are;phoebe_buffay;;;Friends.Season01.Episode13;10;17
100;,;;PUNCT;,;punct;[82, 83];,;phoebe_buffay;;;Friends.Season01.Episode13;10;18
101;like;;INTJ;UH;intj;[84, 88];like;phoebe_buffay;;;Friends.Season01.Episode13;10;19
102;,;;PUNCT;,;punct;[89, 90];,;phoebe_buffay;;;Friends.Season01.Episode13;10;20
103;other;;ADJ;JJ;amod;[91, 96];other;phoebe_buffay;;;Friends.Season01.Episode13;10;21
104;things;;NOUN;NNS;pobj;[97, 103];thing;phoebe_buffay;;;Friends.Season01.Episode13;10;22
105;.;;PUNCT;.;punct;[104, 105];.;phoebe_buffay;;;Friends.Season01.Episode13;10;23
106;Y'know;;X;ADD;ROOT;[106, 112];Y'know;phoebe_buffay;;;Friends.Season01.Episode13;10;24
107;?;;PUNCT;.;punct;[113, 114];?;phoebe_buffay;;;Friends.Season01.Episode13;10;25
108;Like;;INTJ;UH;ROOT;[115, 119];Like;phoebe_buffay;;;Friends.Season01.Episode13;10;26
109;,;;PUNCT;,;punct;[120, 121];,;phoebe_buffay;;;Friends.Season01.Episode13;10;27
110;the;;DET;DT;det;[122, 125];the;phoebe_buffay;;;Friends.Season01.Episode13;10;28
111;phone;;NOUN;NN;compound;[126, 131];phone;phoebe_buffay;;;Friends.Season01.Episode13;10;29
112;rings;;NOUN;NNS;pobj;[132, 137];ring;phoebe_buffay;;;Friends.Season01.Episode13;10;30
113;and;;CCONJ;CC;cc;[138, 141];and;phoebe_buffay;;;Friends.Season01.Episode13;10;31
114;she;UNKNOWN;PRON;PRP;nsubj;[142, 145];she;phoebe_buffay;;9;Friends.Season01.Episode13;10;32
115;takes;;VERB;VBZ;ROOT;[146, 151];take;phoebe_buffay;;;Friends.Season01.Episode13;10;33
116;a;;DET;DT;det;[152, 153];a;phoebe_buffay;;;Friends.Season01.Episode13;10;34
117;shower;;NOUN;NN;dobj;[154, 160];shower;phoebe_buffay;;;Friends.Season01.Episode13;10;35
118;.;;PUNCT;.;punct;[161, 162];.;phoebe_buffay;;;Friends.Season01.Episode13;10;36
119;;;;;;;;;;;;;
120;roger That;;DET;DT;nsubj;[0, 4];That;roger;;;Friends.Season01.Episode13;11;1
121;'s;;AUX;VBZ;ROOT;[5, 7];'s;roger;;;Friends.Season01.Episode13;11;2
122;pretty;;ADV;RB;advmod;[8, 14];pretty;roger;;;Friends.Season01.Episode13;11;3
123;much;;ADV;RB;advmod;[15, 19];much;roger;;;Friends.Season01.Episode13;11;4
124;it;;PRON;PRP;attr;[20, 22];it;roger;;;Friends.Season01.Episode13;11;5
125;.;;PUNCT;.;punct;[23, 24];.;roger;;;Friends.Season01.Episode13;11;6
126;;;;;;;;;;;;;
127;phoebe_buffay Oops;;INTJ;UH;npadvmod;[0, 4];Oops;phoebe_buffay;;;Friends.Season01.Episode13;12;1
128;!;;PUNCT;.;punct;[5, 6];!;phoebe_buffay;;;Friends.Season01.Episode13;12;2
129;;;;;;;;;;;;;
130;roger But;;CCONJ;CC;cc;[0, 3];But;roger;;;Friends.Season01.Episode13;13;1
131;you;phoebe_buffay;PRON;PRP;nsubj;[4, 7];you;roger;;10;Friends.Season01.Episode13;13;2
132;tell;;VERB;VBP;ROOT;[8, 12];tell;roger;;;Friends.Season01.Episode13;13;3
133;it;;PRON;PRP;dobj;[13, 15];it;roger;;;Friends.Season01.Episode13;13;4
134;really;;ADV;RB;advmod;[16, 22];really;roger;;;Friends.Season01.Episode13;13;5
135;well;;ADV;RB;advmod;[23, 27];well;roger;;;Friends.Season01.Episode13;13;6
136;,;;PUNCT;,;punct;[28, 29];,;roger;;;Friends.Season01.Episode13;13;7
137;sweetie;;NOUN;NN;npadvmod;[30, 37];sweetie;roger;;;Friends.Season01.Episode13;13;8
138;.;;PUNCT;.;punct;[38, 39];.;roger;;;Friends.Season01.Episode13;13;9
139;;;;;;;;;;;;;
140;phoebe_buffay Thanks;;NOUN;NNS;npadvmod;[0, 6];Thanks;phoebe_buffay;;;Friends.Season01.Episode13;14;1
141;.;;PUNCT;.;punct;[7, 8];.;phoebe_buffay;;;Friends.Season01.Episode13;14;2
142;Okay;;INTJ;UH;intj;[9, 13];Okay;phoebe_buffay;;;Friends.Season01.Episode13;14;3
