;Unnamed: 0;token;referenceTo;POS;TAG;dep;idChar;lemma;speaker;entityType;idEntity;idDoc;idSent;idWord;labelDoccano
0;0;eddard_stark Your;;DET;PRP$;poss;[0, 4];Your;eddard_stark;;;GameOfThrones.Season01.Episode06;1.0;1.0;cersei_lannister
1;1;pardon;;NOUN;NN;nsubj;[5, 11];pardon;eddard_stark;;;GameOfThrones.Season01.Episode06;1.0;2.0;
2;2;,;;PUNCT;,;punct;[12, 13];,;eddard_stark;;;GameOfThrones.Season01.Episode06;1.0;3.0;
3;3;your;;DET;PRP$;poss;[14, 18];your;eddard_stark;;;GameOfThrones.Season01.Episode06;1.0;4.0;cersei_lannister
4;4;Grace;;NOUN;NN;appos;[19, 24];Grace;eddard_stark;ORG;;GameOfThrones.Season01.Episode06;1.0;5.0;cersei_lannister
5;5;.;;PUNCT;.;punct;[25, 26];.;eddard_stark;;;GameOfThrones.Season01.Episode06;1.0;6.0;
6;6;;;;;;;;;;;;;;
7;7;cersei_lannister Do;;AUX;VBP;aux;[0, 2];Do;cersei_lannister;;;GameOfThrones.Season01.Episode06;2.0;1.0;
8;8;you;eddard_stark;PRON;PRP;nsubj;[3, 6];you;cersei_lannister;;1.0;GameOfThrones.Season01.Episode06;2.0;2.0;eddard_stark
9;9;know;;VERB;VB;ROOT;[7, 11];know;cersei_lannister;;;GameOfThrones.Season01.Episode06;2.0;3.0;
10;10;what;;PRON;WP;dobj;[12, 16];what;cersei_lannister;;;GameOfThrones.Season01.Episode06;2.0;4.0;
11;11;your;eddard_stark;DET;PRP$;poss;[17, 21];your;cersei_lannister;;2.0;GameOfThrones.Season01.Episode06;2.0;5.0;eddard_stark
12;12;wife;;NOUN;NN;nsubj;[22, 26];wife;cersei_lannister;;;GameOfThrones.Season01.Episode06;2.0;6.0;catelyn_stark
13;13;has;;AUX;VBZ;aux;[27, 30];ha;cersei_lannister;;;GameOfThrones.Season01.Episode06;2.0;7.0;
14;14;done;;VERB;VBN;ccomp;[31, 35];done;cersei_lannister;;;GameOfThrones.Season01.Episode06;2.0;8.0;
15;15;?;;PUNCT;.;punct;[36, 37];?;cersei_lannister;;;GameOfThrones.Season01.Episode06;2.0;9.0;
16;16;;;;;;;;;;;;;;
17;17;eddard_stark She;UNKNOWN;PRON;PRP;nsubj;[0, 3];She;eddard_stark;;3.0;GameOfThrones.Season01.Episode06;3.0;1.0;catelyn_stark
18;18;did;;AUX;VBD;ROOT;[4, 7];did;eddard_stark;;;GameOfThrones.Season01.Episode06;3.0;2.0;
19;19;nothing;;PRON;NN;dobj;[8, 15];nothing;eddard_stark;;;GameOfThrones.Season01.Episode06;3.0;3.0;
20;20;I;eddard_stark;PRON;PRP;nsubj;[16, 17];I;eddard_stark;;4.0;GameOfThrones.Season01.Episode06;3.0;4.0;eddard_stark
21;21;did;;AUX;VBD;aux;[18, 21];did;eddard_stark;;;GameOfThrones.Season01.Episode06;3.0;5.0;
22;22;not;;PART;RB;neg;[22, 25];not;eddard_stark;;;GameOfThrones.Season01.Episode06;3.0;6.0;
23;23;command;;VERB;VB;relcl;[26, 33];command;eddard_stark;;;GameOfThrones.Season01.Episode06;3.0;7.0;
24;24;.;;PUNCT;.;punct;[34, 35];.;eddard_stark;;;GameOfThrones.Season01.Episode06;3.0;8.0;
25;25;;;;;;;;;;;;;;
26;26;robert_baratheon Who;;PRON;WP;nsubj;[0, 3];Who;robert_baratheon;;;GameOfThrones.Season01.Episode06;4.0;1.0;
27;27;’d;;PUNCT;,;aux;[4, 6];’d;robert_baratheon;;;GameOfThrones.Season01.Episode06;4.0;2.0;
28;28;have;;AUX;VB;aux;[7, 11];have;robert_baratheon;;;GameOfThrones.Season01.Episode06;4.0;3.0;
29;29;thought;;VERB;VBN;ROOT;[12, 19];thought;robert_baratheon;;;GameOfThrones.Season01.Episode06;4.0;4.0;
