	idSent	idChar	label
0	1	[9, 13]	hugh_of_the_vale
1	1	[5, 8]	hugh_of_the_vale
2	2	[5, 6]	barristan_selmy
3	2	[27, 33]	barristan_selmy
4	2	[23, 26]	hugh_of_the_vale
5	2	[47, 49]	hugh_of_the_vale
6	3	[0, 2]	hugh_of_the_vale
7	4	[13, 16]	hugh_of_the_vale
8	4	[39, 47]	gregor_clegane
9	5		
10	6	[30, 34]	eddard_stark
11	6	[35, 40]	eddard_stark
12	7	[35, 38]	barristan_selmy
13	8	[40, 42]	multiple_persons
14	9	[0, 1]	eddard_stark
15	9	[10, 12]	multiple_persons
16	9	[42, 51]	barristan_selmy
17	9	[62, 64]	eddard_stark
18	9	[72, 73]	eddard_stark
19	9	[38, 41]	barristan_selmy
20	9	[65, 69]	catelyn_stark
21	9	[116, 119]	catelyn_stark
22	10	[0, 3]	eddard_stark
23	10	[21, 22]	barristan_selmy
24	10	[32, 35]	eddard_stark
25	11	[0, 2]	eddard_stark
26	11	[3, 9]	eddard_stark's_father
27	11	[20, 22]	eddard_stark
28	11	[23, 26]	barristan_selmy
29	11	[59, 60]	eddard_stark
30	11	[41, 43]	eddard_stark's_father
31	12	[20, 24]	eddard_stark
32	12	[0, 2]	eddard_stark's_father
33	12	[25, 31]	eddard_stark's_father
34	12	[43, 46]	aerys_targaryen
35	12	[47, 51]	aerys_targaryen
36	12	[59, 62]	eddard_stark's_father
37	13	[17, 19]	UNKNOWN
38	13	[68, 70]	UNKNOWN
39	13	[9, 12]	UNKNOWN
40	14	[41, 42]	barristan_selmy
41	14	[8, 12]	jon_arryn
42	14	[13, 18]	jon_arryn
43	14	[24, 27]	UNKNOWN
44	15		
45	16	[0, 6]	robert_baratheon
46	16	[24, 26]	robert_baratheon
47	17	[46, 48]	multiple_persons
48	17	[7, 11]	robert_baratheon
49	17	[21, 23]	robert_baratheon
50	18	[23, 27]	robert_baratheon
51	18	[28, 33]	robert_baratheon
52	19	[0, 4]	lancel_lannister
53	19	[51, 54]	lancel_lannister
54	19	[113, 115]	lancel_lannister
55	19	[150, 153]	lancel_lannister
56	20	[0, 3]	robert_baratheon
57	20	[20, 24]	robert_baratheon
58	21	[32, 35]	eddard_stark
59	21	[45, 49]	eddard_stark
60	22		
61	23	[5, 9]	robert_baratheon
62	23	[10, 15]	robert_baratheon
63	24	[5, 8]	lancel_lannister
64	24	[25, 29]	eddard_stark
65	25	[0, 3]	robert_baratheon
66	25	[27, 30]	lancel_lannister
67	26	[14, 18]	eddard_stark
68	26	[0, 3]	lancel_lannister
69	26	[25, 29]	robert_baratheon
70	26	[45, 48]	robert_baratheon
71	27		
72	28	[16, 18]	lancel_lannister
73	29	[6, 9]	robert_baratheon
74	30	[28, 31]	eddard_stark
75	30	[38, 40]	robert_baratheon
76	30	[53, 54]	robert_baratheon
77	31	[0, 3]	robert_baratheon
78	32	[14, 15]	robert_baratheon
79	32	[41, 42]	robert_baratheon
80	33	[24, 27]	robert_baratheon
81	34	[38, 41]	UNKNOWN
82	34	[61, 64]	eddard_stark
83	35	[60, 63]	robert_baratheon
84	36	[4, 7]	eddard_stark
85	36	[16, 18]	robert_baratheon
86	36	[43, 45]	robert_baratheon
87	37		
88	38		
89	39	[0, 1]	eddard_stark
90	40	[8, 12]	eddard_stark
91	40	[51, 53]	robert_baratheon
92	40	[32, 36]	UNKNOWN
93	41	[0, 4]	robert_baratheon
94	42	[31, 37]	cersei_lannister
95	42	[49, 50]	robert_baratheon
96	42	[56, 59]	jon_arryn
97	42	[90, 96]	cersei_lannister
98	42	[145, 147]	robert_baratheon
99	42	[155, 158]	eddard_stark
100	42	[172, 178]	PARENTS
101	42	[182, 186]	eddard_stark
102	42	[199, 200]	robert_baratheon
103	42	[226, 227]	robert_baratheon
104	42	[246, 247]	robert_baratheon
105	42	[310, 311]	robert_baratheon
106	42	[60, 65]	jon_arryn
107	42	[79, 82]	cersei_lannister
108	42	[97, 106]	cersei_lannister
109	42	[137, 139]	jon_arryn
110	42	[168, 171]	cersei_lannister
111	43	[0, 6]	robert_baratheon
112	44	[71, 75]	multiple_persons
113	44	[89, 92]	multiple_persons
114	45	[9, 13]	arya_stark
115	46	[3, 6]	arya_stark
116	47	[16, 21]	loras_tyrell
117	47	[12, 15]	loras_tyrell
118	48	[27, 30]	loras_tyrell
119	48	[11, 14]	gregor_clegane
120	48	[15, 21]	gregor_clegane
121	49		
122	50	[0, 1]	sansa_stark
123	51	[24, 32]	gregor_clegane
124	52	[0, 1]	renly_baratheon
125	53	[14, 15]	petyr_baelish
126	54	[3, 6]	petyr_baelish
127	55	[0, 2]	loras_tyrell
128	56	[4, 9]	loras_tyrell
129	56	[0, 3]	loras_tyrell
130	57	[15, 27]	petyr_baelish
131	57	[61, 64]	petyr_baelish
132	58	[9, 11]	petyr_baelish
133	58	[19, 24]	renly_baratheon
134	58	[14, 18]	renly_baratheon
135	58	[37, 40]	renly_baratheon
136	58	[51, 55]	renly_baratheon
137	59	[0, 5]	loras_tyrell
138	59	[11, 14]	loras_tyrell
139	60	[4, 9]	loras_tyrell
140	60	[0, 3]	loras_tyrell
141	61		
142	62	[33, 37]	multiple_persons
143	63	[0, 1]	loras_tyrell
144	63	[10, 12]	loras_tyrell
145	63	[6, 9]	sandor_clegane
146	63	[20, 23]	sandor_clegane
147	64	[0, 1]	sandor_clegane
148	65	[7, 10]	tyrion_lannister
149	66	[48, 51]	tyrion_lannister
150	66	[83, 85]	tyrion_lannister
151	67	[37, 39]	multiple_persons
152	67	[28, 31]	catelyn_stark
153	68	[0, 1]	catelyn_stark
154	69	[52, 54]	tyrion_lannister
155	69	[103, 105]	tyrion_lannister
156	69	[106, 112]	tyrion_lannister's_father
157	69	[200, 203]	UNKNOWN
158	69	[218, 221]	catelyn_stark
159	69	[245, 247]	tyrion_lannister
160	69	[122, 124]	tyrion_lannister's_father
161	70	[14, 15]	catelyn_stark
162	71	[13, 14]	tyrion_lannister
163	71	[57, 59]	tyrion_lannister
164	71	[64, 66]	tyrion_lannister
165	71	[98, 100]	tyrion_lannister
