;token;referenceTo;POS;TAG;dep;idChar;lemma;speaker;entityType;idEntity;idDoc;idSent;idWord
0;eddard_stark Your;;DET;PRP$;poss;[0, 4];Your;eddard_stark;;;GameOfThrones.Season01.Episode06;1;1
1;pardon;;NOUN;NN;nsubj;[5, 11];pardon;eddard_stark;;;GameOfThrones.Season01.Episode06;1;2
2;,;;PUNCT;,;punct;[12, 13];,;eddard_stark;;;GameOfThrones.Season01.Episode06;1;3
3;your;;DET;PRP$;poss;[14, 18];your;eddard_stark;;;GameOfThrones.Season01.Episode06;1;4
4;Grace;;NOUN;NN;appos;[19, 24];Grace;eddard_stark;ORG;;GameOfThrones.Season01.Episode06;1;5
5;.;;PUNCT;.;punct;[25, 26];.;eddard_stark;;;GameOfThrones.Season01.Episode06;1;6
6;;;;;;;;;;;;;
7;cersei_lannister Do;;AUX;VBP;aux;[0, 2];Do;cersei_lannister;;;GameOfThrones.Season01.Episode06;2;1
8;you;eddard_stark;PRON;PRP;nsubj;[3, 6];you;cersei_lannister;;1;GameOfThrones.Season01.Episode06;2;2
9;know;;VERB;VB;ROOT;[7, 11];know;cersei_lannister;;;GameOfThrones.Season01.Episode06;2;3
10;what;;PRON;WP;dobj;[12, 16];what;cersei_lannister;;;GameOfThrones.Season01.Episode06;2;4
11;your;eddard_stark;DET;PRP$;poss;[17, 21];your;cersei_lannister;;2;GameOfThrones.Season01.Episode06;2;5
12;wife;;NOUN;NN;nsubj;[22, 26];wife;cersei_lannister;;;GameOfThrones.Season01.Episode06;2;6
13;has;;AUX;VBZ;aux;[27, 30];ha;cersei_lannister;;;GameOfThrones.Season01.Episode06;2;7
14;done;;VERB;VBN;ccomp;[31, 35];done;cersei_lannister;;;GameOfThrones.Season01.Episode06;2;8
15;?;;PUNCT;.;punct;[36, 37];?;cersei_lannister;;;GameOfThrones.Season01.Episode06;2;9
16;;;;;;;;;;;;;
17;eddard_stark She;UNKNOWN;PRON;PRP;nsubj;[0, 3];She;eddard_stark;;3;GameOfThrones.Season01.Episode06;3;1
18;did;;AUX;VBD;ROOT;[4, 7];did;eddard_stark;;;GameOfThrones.Season01.Episode06;3;2
19;nothing;;PRON;NN;dobj;[8, 15];nothing;eddard_stark;;;GameOfThrones.Season01.Episode06;3;3
20;I;eddard_stark;PRON;PRP;nsubj;[16, 17];I;eddard_stark;;4;GameOfThrones.Season01.Episode06;3;4
21;did;;AUX;VBD;aux;[18, 21];did;eddard_stark;;;GameOfThrones.Season01.Episode06;3;5
22;not;;PART;RB;neg;[22, 25];not;eddard_stark;;;GameOfThrones.Season01.Episode06;3;6
23;command;;VERB;VB;relcl;[26, 33];command;eddard_stark;;;GameOfThrones.Season01.Episode06;3;7
24;.;;PUNCT;.;punct;[34, 35];.;eddard_stark;;;GameOfThrones.Season01.Episode06;3;8
25;;;;;;;;;;;;;
26;robert_baratheon Who;;PRON;WP;nsubj;[0, 3];Who;robert_baratheon;;;GameOfThrones.Season01.Episode06;4;1
27;’d;;PUNCT;,;aux;[4, 6];’d;robert_baratheon;;;GameOfThrones.Season01.Episode06;4;2
28;have;;AUX;VB;aux;[7, 11];have;robert_baratheon;;;GameOfThrones.Season01.Episode06;4;3
29;thought;;VERB;VBN;ROOT;[12, 19];thought;robert_baratheon;;;GameOfThrones.Season01.Episode06;4;4
30;she;UNKNOWN;PRON;PRP;nsubj;[20, 23];she;robert_baratheon;;5;GameOfThrones.Season01.Episode06;4;5
31;had;;AUX;VBD;ccomp;[24, 27];had;robert_baratheon;;;GameOfThrones.Season01.Episode06;4;6
32;it;;PRON;PRP;dobj;[28, 30];it;robert_baratheon;;;GameOfThrones.Season01.Episode06;4;7
33;in;;ADP;IN;prep;[31, 33];in;robert_baratheon;;;GameOfThrones.Season01.Episode06;4;8
34;her;UNKNOWN;PRON;PRP;pobj;[34, 37];her;robert_baratheon;;6;GameOfThrones.Season01.Episode06;4;9
