funeral	1.0
crying	Non
dragon egg	Non
fainting	Non
king	Non
dragon	Non
vow	Non
death	Non
funeral pyre	Non
cruelty	Non
lord	Non
army	Non
fire	Non
queen	Non
bowing	Non
bowing down	Non
screaming woman	Non
screaming	Non
nipples	Non
bare breasts	Non
burning woman	Non
kiss on the cheek	Non
female rear nudity	Non
female full back nudity	Non
bare butt female	Non
nudity	Non
whore	Non
three word episode title	Non
subtitled scene	Non
knight in armor	Non
knight	Non
horseback riding	Non
horseback chase	Non
dier wolf	Non
horseback	Non
horse	Non
betrayal	Non
loss of father	Non
loss of husband	Non
loss of child	Non
bare chested male	Non
bare chested	Non
bare butt male	Non
bare butt	Non
buttocks	Non
butt	Non
male full back nudity	Non
male nudity	Non
throne	Non
vow of revenge	Non
grief	Non
lady	Non
vision	Non
blood	Non
death of husband	Non
returning character killed off	Non
female star appears nude	Non
walking through fire	Non
public nudity	Non
baby dragon	Non
burned alive	Non
mercy killing	Non
smothered with a pillow	Non
clotheslined	Non
desertion	Non
stillbirth	Non
male rear nudity	Non
hit with a rock	Non
bloody face	Non
head on a pike	Non
face slap	Non
prison wagon	Non
tame wolf	Non
boy riding on shoulders	Non
girl disguised as a boy	Non
repeated scene from a previous episode	Non
severed head	Non
bloody sword	Non
sex scene	Non
female nudity	Non
prostitute	Non
suffocation	Non
proclamation of king	Non
prisoner	Non
head on a stake	Non
crypt	Non
cutting hair	Non
raven	Non
dream	Non
kneeling	Non
ritual	Non
abuse	Non
spear	Non
severed tongue	Non
helmet	Non
soldier	Non
armor	Non
main character dies	Non
violence	Non
brutality	Non
person on fire	Non
sword	Non
death of father	Non
