male nudity	0.6666666666666666
play	1.0
election	1.0
sea	1.0
snow	1.0
undead	1.0
topless female nudity	0.5
female nudity	0.5
episode title spoken by character	Non
disease	Non
rhyme	Non
swordplay	Non
wax seal	Non
sealed letter	Non
nosebleed	Non
trance	Non
ring of fire	Non
battle map	Non
fleet	Non
drowning	Non
stabbed in the chest	Non
stabbed slowly	Non
close up of penis and testicles	Non
bare breasts	Non
sparring	Non
male rear nudity	Non
male bare butt	Non
male pubic hair	Non
pubic hair	Non
candle	Non
fire	Non
knife	Non
theater	Non
black	Non
sword	Non
intrigue	0.0
