wood	1.0
wax seal	Non
deity	Non
laughter	Non
horseback riding	Non
flower	Non
sealed letter	Non
castle	Non
lady	Non
sparrow	Non
corpse hanging by the neck in public	Non
massacre	Non
jumping off a bridge	Non
stabbed multiple times	Non
stabbed in the belly	Non
bare breasts	Non
stone bridge	Non
brig	Non
recruiting allies	Non
drawbridge	Non
building a tower	Non
back hand slap	Non
knife held to throat	Non
rope around neck	Non
crossbow	Non
chopping wood	Non
anvil	Non
breast kissing	Non
assassination	Non
forest	Non
sword	Non
blood	Non
scar	Non
beard	Non
birds singing	Non
cage	Non
swearing	Non
lesbian	Non
kiss	Non
fur	Non
water	Non
bridge	Non
treaty	Non
body armor	Non
allegiance	Non
flag	Non
knife	Non
horse	Non
crying	Non
black	Non
fire	Non
snow	Non
faith	Non
threat	Non
long hair	Non
kingdom	Non
priest	Non
crown	Non
queen	Non
cross	Non
resurrection	Non
axe	Non
fantasy world	Non
fort	Non
