riding a dragon	1.0
barrel of oil	Non
tar	Non
castle	Non
arena	Non
dragon glass	Non
dagger	Non
animated corpse	Non
cut in half	Non
severed arm	Non
fistfight	Non
stabbed in the throat	Non
summary execution	Non
message	Non
wedding	Non
murder of crows	Non
army on the march	Non
fire breathing dragon	Non
wall of ice	Non
chugging	Non
cliffhanger	Non
crate	Non
wine	Non
dragon	Non
animal in title	Non
male objectification	Non
male nudity	Non
male rear nudity	Non
bare chested male	Non
barefoot male	Non
bare butt	Non
sex scene	Non
deception	Non
pregnancy	Non
negotiation	Non
summit meeting	Non
accused of treason	Non
begging for mercy	Non
snow	Non
demolition	Non
plot twist	Non
