;Unnamed: 0;token;referenceTo;POS;TAG;dep;idChar;lemma;speaker;entityType;idEntity;idDoc;idSent;idWord;labelDoccano
0;0;albus_dumbledore I;albus_dumbledore;PRON;PRP;nsubj;[0, 1];I;albus_dumbledore;;1.0;HarryPotter.Episode01;1.0;1.0;albus_dumbledore
1;1;should;;VERB;MD;aux;[2, 8];should;albus_dumbledore;;;HarryPotter.Episode01;1.0;2.0;
2;2;have;;AUX;VB;aux;[9, 13];have;albus_dumbledore;;;HarryPotter.Episode01;1.0;3.0;
3;3;known;;VERB;VBN;ROOT;[14, 19];known;albus_dumbledore;;;HarryPotter.Episode01;1.0;4.0;
4;4;that;;SCONJ;IN;mark;[20, 24];that;albus_dumbledore;;;HarryPotter.Episode01;1.0;5.0;
5;5;you;;PRON;PRP;nsubj;[25, 28];you;albus_dumbledore;;;HarryPotter.Episode01;1.0;6.0;professor_mcgonagall
6;6;would;;VERB;MD;aux;[29, 34];would;albus_dumbledore;;;HarryPotter.Episode01;1.0;7.0;
7;7;be;;AUX;VB;ccomp;[35, 37];be;albus_dumbledore;;;HarryPotter.Episode01;1.0;8.0;
8;8;here;;ADV;RB;advmod;[38, 42];here;albus_dumbledore;;;HarryPotter.Episode01;1.0;9.0;
9;9;...;;PUNCT;:;punct;[43, 46];...;albus_dumbledore;;;HarryPotter.Episode01;1.0;10.0;
10;10;Professor;;PROPN;NNP;compound;[47, 56];Professor;albus_dumbledore;;;HarryPotter.Episode01;1.0;11.0;professor_mcgonagall
11;11;mcgonagall;professor_mcgonagall;NOUN;NN;ROOT;[57, 67];mcgonagall;albus_dumbledore;;2.0;HarryPotter.Episode01;1.0;12.0;professor_mcgonagall
12;12;.;;PUNCT;.;punct;[68, 69];.;albus_dumbledore;;;HarryPotter.Episode01;1.0;13.0;
13;13;;;;;;;;;;;;;;
14;14;professor_mcgonagall Good;;ADJ;JJ;amod;[0, 4];Good;professor_mcgonagall;;;HarryPotter.Episode01;2.0;1.0;
15;15;evening;;NOUN;NN;ROOT;[5, 12];evening;professor_mcgonagall;TIME;;HarryPotter.Episode01;2.0;2.0;
16;16;,;;PUNCT;,;punct;[13, 14];,;professor_mcgonagall;;;HarryPotter.Episode01;2.0;3.0;
17;17;Professor;;PROPN;NNP;compound;[15, 24];Professor;professor_mcgonagall;;;HarryPotter.Episode01;2.0;4.0;albus_dumbledore
18;18;dumbledore;albus_dumbledore;NOUN;NN;appos;[25, 35];dumbledore;professor_mcgonagall;PERSON;3.0;HarryPotter.Episode01;2.0;5.0;albus_dumbledore
19;19;.;;PUNCT;.;punct;[36, 37];.;professor_mcgonagall;;;HarryPotter.Episode01;2.0;6.0;
20;20;Are;;AUX;VBP;ROOT;[38, 41];Are;professor_mcgonagall;;;HarryPotter.Episode01;2.0;7.0;
21;21;the;;DET;DT;det;[42, 45];the;professor_mcgonagall;;;HarryPotter.Episode01;2.0;8.0;
22;22;rumours;;NOUN;NNS;nsubj;[46, 53];rumour;professor_mcgonagall;;;HarryPotter.Episode01;2.0;9.0;
23;23;true;;ADJ;JJ;acomp;[54, 58];true;professor_mcgonagall;;;HarryPotter.Episode01;2.0;10.0;
24;24;,;;PUNCT;,;punct;[59, 60];,;professor_mcgonagall;;;HarryPotter.Episode01;2.0;11.0;
25;25;albus;albus_dumbledore;PROPN;NNP;npadvmod;[61, 66];albus;professor_mcgonagall;;4.0;HarryPotter.Episode01;2.0;12.0;albus_dumbledore
26;26;?;;PUNCT;.;punct;[67, 68];?;professor_mcgonagall;;;HarryPotter.Episode01;2.0;13.0;
27;27;;;;;;;;;;;;;;
28;28;albus_dumbledore I;albus_dumbledore;PRON;PRP;nsubj;[0, 1];I;albus_dumbledore;;5.0;HarryPotter.Episode01;3.0;1.0;albus_dumbledore
29;29;'m;;AUX;VBP;ROOT;[2, 4];'m;albus_dumbledore;;;HarryPotter.Episode01;3.0;2.0;
30;30;afraid;;ADJ;JJ;acomp;[5, 11];afraid;albus_dumbledore;;;HarryPotter.Episode01;3.0;3.0;
31;31;so;;ADV;RB;ROOT;[12, 14];so;albus_dumbledore;;;HarryPotter.Episode01;3.0;4.0;
32;32;,;;PUNCT;,;punct;[15, 16];,;albus_dumbledore;;;HarryPotter.Episode01;3.0;5.0;
33;33;Professor;;PROPN;NNP;npadvmod;[17, 26];Professor;albus_dumbledore;;;HarryPotter.Episode01;3.0;6.0;professor_mcgonagall
34;34;.;;PUNCT;.;punct;[27, 28];.;albus_dumbledore;;;HarryPotter.Episode01;3.0;7.0;
35;35;The;;DET;DT;det;[29, 32];The;albus_dumbledore;;;HarryPotter.Episode01;3.0;8.0;
36;36;good;;ADJ;JJ;ROOT;[33, 37];good;albus_dumbledore;;;HarryPotter.Episode01;3.0;9.0;
37;37;,;;PUNCT;,;punct;[38, 39];,;albus_dumbledore;;;HarryPotter.Episode01;3.0;10.0;
38;38;and;;CCONJ;CC;cc;[40, 43];and;albus_dumbledore;;;HarryPotter.Episode01;3.0;11.0;
39;39;the;;DET;DT;det;[44, 47];the;albus_dumbledore;;;HarryPotter.Episode01;3.0;12.0;
40;40;bad;;ADJ;JJ;conj;[48, 51];bad;albus_dumbledore;;;HarryPotter.Episode01;3.0;13.0;
41;41;.;;PUNCT;.;punct;[52, 53];.;albus_dumbledore;;;HarryPotter.Episode01;3.0;14.0;
42;42;;;;;;;;;;;;;;
43;43;professor_mcgonagall And;;CCONJ;CC;cc;[0, 3];And;professor_mcgonagall;;;HarryPotter.Episode01;4.0;1.0;
44;44;the;;DET;DT;det;[4, 7];the;professor_mcgonagall;;;HarryPotter.Episode01;4.0;2.0;
45;45;boy;boy;NOUN;NN;conj;[8, 11];boy;professor_mcgonagall;;6.0;HarryPotter.Episode01;4.0;3.0;harry_potter
46;46;?;;PUNCT;.;punct;[12, 13];?;professor_mcgonagall;;;HarryPotter.Episode01;4.0;4.0;
47;47;;;;;;;;;;;;;;
48;48;albus_dumbledore hagrid;hagrid;PROPN;NNP;nsubj;[0, 6];hagrid;albus_dumbledore;;7.0;HarryPotter.Episode01;5.0;1.0;hagrid
49;49;is;;AUX;VBZ;aux;[7, 9];is;albus_dumbledore;;;HarryPotter.Episode01;5.0;2.0;
50;50;bringing;;VERB;VBG;ROOT;[10, 18];bringing;albus_dumbledore;;;HarryPotter.Episode01;5.0;3.0;
51;51;him;UNKNOWN;PRON;PRP;dobj;[19, 22];him;albus_dumbledore;;8.0;HarryPotter.Episode01;5.0;4.0;harry_potter
