	idSent	idChar	label
0	1	[0, 1]	albus_dumbledore
1	1	[57, 67]	professor_mcgonagall
2	1	[47, 56]	professor_mcgonagall
3	1	[25, 28]	professor_mcgonagall
4	2	[25, 35]	albus_dumbledore
5	2	[61, 66]	albus_dumbledore
6	2	[15, 24]	albus_dumbledore
7	3	[0, 1]	albus_dumbledore
8	3	[17, 26]	professor_mcgonagall
9	4	[8, 11]	harry_potter
10	5	[0, 6]	hagrid
11	5	[19, 22]	harry_potter
12	6	[3, 6]	albus_dumbledore
13	6	[30, 36]	hagrid
14	7	[17, 18]	albus_dumbledore
15	7	[31, 37]	hagrid
16	7	[43, 45]	albus_dumbledore
17	7	[5, 14]	professor_mcgonagall
18	8	[10, 20]	albus_dumbledore
19	8	[39, 49]	professor_mcgonagall
20	8	[23, 26]	albus_dumbledore
21	8	[29, 38]	professor_mcgonagall
22	9	[14, 15]	albus_dumbledore
23	9	[24, 30]	hagrid
24	10	[43, 45]	multiple_persons
25	10	[95, 98]	harry_potter
26	10	[5, 8]	albus_dumbledore
27	11	[0, 5]	albus_dumbledore
28	11	[11, 14]	hagrid
29	11	[71, 72]	professor_mcgonagall
30	11	[47, 50]	harry_potter
31	12	[16, 18]	harry_potter
32	13	[5, 8]	harry_potter
33	13	[52, 55]	multiple_persons
34	13	[80, 83]	harry_potter
35	14	[10, 12]	harry_potter
36	14	[65, 67]	harry_potter
37	15	[16, 22]	hagrid
38	16	[14, 19]	harry_potter
39	16	[20, 26]	harry_potter
40	17		
41	18	[19, 21]	multiple_persons
42	18	[10, 16]	harry_potter
43	19	[10, 12]	dudley_dursley
44	20	[17, 20]	dudley_dursley
45	21	[11, 14]	harry_potter
46	22	[6, 10]	aunt_petunia_dursley
47	22	[11, 18]	aunt_petunia_dursley
48	23	[0, 1]	aunt_petunia_dursley
49	23	[36, 38]	aunt_petunia_dursley
50	23	[39, 45]	dudley_dursley
51	24	[17, 19]	uncle_vernon_dursley
52	24	[29, 32]	harry_potter
53	25	[6, 11]	uncle_vernon_dursley
54	25	[12, 18]	uncle_vernon_dursley
55	26		
56	27	[27, 33]	uncle_vernon_dursley
57	28	[41, 42]	dudley_dursley
58	29		
59	30	[0, 1]	dudley_dursley
60	31	[36, 38]	multiple_persons
61	31	[70, 72]	multiple_persons
62	31	[80, 82]	multiple_persons
63	31	[100, 103]	dudley_dursley
64	32	[39, 40]	aunt_petunia_dursley
65	33	[0, 1]	uncle_vernon_dursley
66	33	[13, 16]	harry_potter
67	33	[23, 26]	harry_potter
68	33	[67, 70]	harry_potter
69	34		
70	35		
71	36		
72	37	[0, 2]	snake
73	38	[0, 2]	snake
74	39	[12, 15]	dudley_dursley
75	39	[18, 20]	dudley_dursley
76	39	[130, 133]	snake
77	40	[17, 19]	harry_potter
78	40	[22, 23]	harry_potter
79	40	[38, 40]	harry_potter
80	40	[51, 52]	harry_potter
81	40	[64, 66]	harry_potter
82	40	[67, 74]	harry_potter's_parents
83	40	[4, 7]	snake
84	41	[55, 60]	snake
85	41	[8, 11]	uncle_vernon_dursley
86	41	[0, 5]	aunt_petunia_dursley
87	41	[26, 29]	multiple_persons
88	42		
89	43		
90	44		
91	45	[0, 5]	snake
92	46	[0, 3]	aunt_petunia_dursley
93	46	[6, 11]	aunt_petunia_dursley
94	47		
95	48	[18, 20]	dudley_dursley
96	48	[0, 3]	aunt_petunia_dursley
97	49	[0, 2]	aunt_petunia_dursley
98	49	[25, 28]	dudley_dursley
