;token;referenceTo;POS;TAG;dep;idChar;lemma;speaker;entityType;idEntity;idDoc;idSent;idWord
0;harry_potter Lumos;portrait_;PROPN;NNP;compound;[0, 5];Lumos;harry_potter;;;HarryPotter.Episode03;1;1
1;Maxima;portrait_;PROPN;NNP;ROOT;[6, 12];Maxima;harry_potter;;;HarryPotter.Episode03;1;2
2;...;portrait_;PUNCT;:;punct;[13, 16];...;harry_potter;;;HarryPotter.Episode03;1;3
3;.;portrait_;PUNCT;.;punct;[17, 18];.;harry_potter;;;HarryPotter.Episode03;1;4
4;;;;;;;;;;;;;
5;harry_potter Lumos;portrait_;PROPN;NNP;compound;[0, 5];Lumos;harry_potter;;;HarryPotter.Episode03;2;1
6;Maxima;portrait_;PROPN;NNP;ROOT;[6, 12];Maxima;harry_potter;;;HarryPotter.Episode03;2;2
7;...;portrait_;PUNCT;:;punct;[13, 16];...;harry_potter;;;HarryPotter.Episode03;2;3
8;.;portrait_;PUNCT;.;punct;[17, 18];.;harry_potter;;;HarryPotter.Episode03;2;4
9;;;;;;;;;;;;;
10;harry_potter Lumos;portrait_;PROPN;NNP;compound;[0, 5];Lumos;harry_potter;;;HarryPotter.Episode03;3;1
11;Maxima;portrait_;PROPN;NNP;ROOT;[6, 12];Maxima;harry_potter;;;HarryPotter.Episode03;3;2
12;...;portrait_;PUNCT;:;punct;[13, 16];...;harry_potter;;;HarryPotter.Episode03;3;3
13;.;portrait_;PUNCT;.;punct;[17, 18];.;harry_potter;;;HarryPotter.Episode03;3;4
14;;;;;;;;;;;;;
15;harry_potter Lumos;portrait_;PROPN;NNP;compound;[0, 5];Lumos;harry_potter;;;HarryPotter.Episode03;4;1
16;Maxima;portrait_;PROPN;NNP;ROOT;[6, 12];Maxima;harry_potter;;;HarryPotter.Episode03;4;2
17;...;portrait_;PUNCT;:;punct;[13, 16];...;harry_potter;;;HarryPotter.Episode03;4;3
18;.;portrait_;PUNCT;.;punct;[17, 18];.;harry_potter;;;HarryPotter.Episode03;4;4
19;;;;;;;;;;;;;
20;harry_potter Lumos;portrait_;PROPN;NNP;ROOT;[0, 5];Lumos;harry_potter;;;HarryPotter.Episode03;5;1
21;...;portrait_;PUNCT;:;punct;[6, 9];...;harry_potter;;;HarryPotter.Episode03;5;2
22;Maxima;portrait_;PROPN;NNP;ROOT;[10, 16];Maxima;harry_potter;PRODUCT;;HarryPotter.Episode03;5;3
23;!;portrait_;PUNCT;.;punct;[17, 18];!;harry_potter;;;HarryPotter.Episode03;5;4
