;token;referenceTo;POS;TAG;dep;idChar;lemma;speaker;entityType;idEntity;idDoc;idSent;idWord
0;old man;man;NOUN;NN;ROOT;[0, 3];man;old;;1;HarryPotter.Episode04;1;1
1;Bloody;;ADJ;JJ;compound;[4, 10];Bloody;old;GPE;;HarryPotter.Episode04;1;2
2;kids;;NOUN;NNS;appos;[11, 15];kid;old;;;HarryPotter.Episode04;1;3
3;.;;PUNCT;.;punct;[16, 17];.;old;;;HarryPotter.Episode04;1;4
4;;;;;;;;;;;;;
5;wormtail Oh;;INTJ;UH;ROOT;[0, 2];Oh;wormtail;;;HarryPotter.Episode04;2;1
6;no;;INTJ;UH;intj;[3, 5];no;wormtail;;;HarryPotter.Episode04;2;2
7;no;;INTJ;UH;intj;[6, 8];no;wormtail;;;HarryPotter.Episode04;2;3
8;no;;INTJ;UH;intj;[9, 11];no;wormtail;;;HarryPotter.Episode04;2;4
9;my;wormtail;INTJ;UH;poss;[12, 14];my;wormtail;;2;HarryPotter.Episode04;2;5
10;Lord;lord_voldemort;PROPN;NNP;compound;[15, 19];Lord;wormtail;;3;HarryPotter.Episode04;2;6
11;Voldemort;lord_voldemort;PROPN;NNP;ROOT;[20, 29];Voldemort;wormtail;;4;HarryPotter.Episode04;2;7
12;.;;PUNCT;.;punct;[30, 31];.;wormtail;;;HarryPotter.Episode04;2;8
13;I;wormtail;PRON;PRP;nsubj;[32, 33];I;wormtail;;5;HarryPotter.Episode04;2;9
14;only;;ADV;RB;advmod;[34, 38];only;wormtail;;;HarryPotter.Episode04;2;10
15;meant;;VERB;VBD;ROOT;[39, 44];meant;wormtail;;;HarryPotter.Episode04;2;11
16;...;;PUNCT;NFP;punct;[45, 48];...;wormtail;;;HarryPotter.Episode04;2;12
17;perhaps;;ADV;RB;ROOT;[49, 56];perhaps;wormtail;;;HarryPotter.Episode04;2;13
18;if;;SCONJ;IN;mark;[57, 59];if;wormtail;;;HarryPotter.Episode04;2;14
19;we;multiple_persons;PRON;PRP;nsubj;[60, 62];we;wormtail;;6;HarryPotter.Episode04;2;15
20;were;;AUX;VBD;advcl;[63, 67];were;wormtail;;;HarryPotter.Episode04;2;16
21;to;;PART;TO;aux;[68, 70];to;wormtail;;;HarryPotter.Episode04;2;17
22;do;;AUX;VB;xcomp;[71, 73];do;wormtail;;;HarryPotter.Episode04;2;18
23;it;;PRON;PRP;dobj;[74, 76];it;wormtail;;;HarryPotter.Episode04;2;19
24;without;;ADP;IN;prep;[77, 84];without;wormtail;;;HarryPotter.Episode04;2;20
25;the;;DET;DT;det;[85, 88];the;wormtail;;;HarryPotter.Episode04;2;21
26;boy;boy;NOUN;NN;pobj;[89, 92];boy;wormtail;;7;HarryPotter.Episode04;2;22
27;..;;PUNCT;NFP;punct;[93, 95];..;wormtail;;;HarryPotter.Episode04;2;23
28;];;PUNCT;-RRB-;punct;[96, 97];];wormtail;;;HarryPotter.Episode04;2;24
29;.;;PUNCT;.;punct;[98, 99];.;wormtail;;;HarryPotter.Episode04;2;25
30;;;;;;;;;;;;;
31;lord_voldemort NO;;INTJ;UH;ROOT;[0, 2];NO;lord_voldemort;;;HarryPotter.Episode04;3;1
32;!;;PUNCT;.;punct;[3, 4];!;lord_voldemort;;;HarryPotter.Episode04;3;2
33;The;;DET;DT;det;[5, 8];The;lord_voldemort;;;HarryPotter.Episode04;3;3
34;boy;boy;NOUN;NN;nsubj;[9, 12];boy;lord_voldemort;;8;HarryPotter.Episode04;3;4
35;is;;AUX;VBZ;ROOT;[13, 15];is;lord_voldemort;;;HarryPotter.Episode04;3;5
36;everything;;PRON;NN;attr;[16, 26];everything;lord_voldemort;;;HarryPotter.Episode04;3;6
37;,;;PUNCT;,;punct;[27, 28];,;lord_voldemort;;;HarryPotter.Episode04;3;7
38;it;;PRON;PRP;nsubjpass;[29, 31];it;lord_voldemort;;;HarryPotter.Episode04;3;8
39;can;;VERB;MD;aux;[32, 35];can;lord_voldemort;;;HarryPotter.Episode04;3;9
40;not;;PART;RB;neg;[36, 39];not;lord_voldemort;;;HarryPotter.Episode04;3;10
41;be;;AUX;VB;auxpass;[40, 42];be;lord_voldemort;;;HarryPotter.Episode04;3;11
42;done;;VERB;VBN;conj;[43, 47];done;lord_voldemort;;;HarryPotter.Episode04;3;12
43;without;;ADP;IN;prep;[48, 55];without;lord_voldemort;;;HarryPotter.Episode04;3;13
44;him;UNKNOWN;PRON;PRP;pobj;[56, 59];him;lord_voldemort;;9;HarryPotter.Episode04;3;14
45;and;;CCONJ;CC;cc;[60, 63];and;lord_voldemort;;;HarryPotter.Episode04;3;15
46;it;;PRON;PRP;nsubjpass;[64, 66];it;lord_voldemort;;;HarryPotter.Episode04;3;16
47;WILL;;VERB;MD;aux;[67, 71];WILL;lord_voldemort;;;HarryPotter.Episode04;3;17
48;be;;AUX;VB;auxpass;[72, 74];be;lord_voldemort;;;HarryPotter.Episode04;3;18
49;done;;VERB;VBN;conj;[75, 79];done;lord_voldemort;;;HarryPotter.Episode04;3;19
50;exactly;;ADV;RB;advmod;[80, 87];exactly;lord_voldemort;;;HarryPotter.Episode04;3;20
51;as;;SCONJ;IN;mark;[88, 90];a;lord_voldemort;;;HarryPotter.Episode04;3;21
52;I;lord_voldemort;PRON;PRP;nsubj;[91, 92];I;lord_voldemort;;10;HarryPotter.Episode04;3;22
53;say;;VERB;VBP;advcl;[93, 96];say;lord_voldemort;;;HarryPotter.Episode04;3;23
54;.;;PUNCT;.;punct;[97, 98];.;lord_voldemort;;;HarryPotter.Episode04;3;24
55;;;;;;;;;;;;;
56;unknown man;man;NOUN;NN;npadvmod;[0, 3];man;unknown;;11;HarryPotter.Episode04;4;1
57;I;unknown;PRON;PRP;nsubj;[4, 5];I;unknown;;12;HarryPotter.Episode04;4;2
58;will;;VERB;MD;aux;[6, 10];will;unknown;;;HarryPotter.Episode04;4;3
59;not;;PART;RB;neg;[11, 14];not;unknown;;;HarryPotter.Episode04;4;4
60;disappoint;;VERB;VB;ROOT;[15, 25];disappoint;unknown;;;HarryPotter.Episode04;4;5
61;you;lord_voldemort;PRON;PRP;dobj;[26, 29];you;unknown;;13;HarryPotter.Episode04;4;6
62;my;unknown;DET;PRP$;poss;[30, 32];my;unknown;;14;HarryPotter.Episode04;4;7
63;lord;lord_voldemort;PROPN;NNP;npadvmod;[33, 37];lord;unknown;;15;HarryPotter.Episode04;4;8
64;.;;PUNCT;.;punct;[38, 39];.;unknown;;;HarryPotter.Episode04;4;9
65;;;;;;;;;;;;;
66;lord_voldemort Nagini;;PROPN;NNP;nsubj;[0, 6];Nagini;lord_voldemort;PERSON;;HarryPotter.Episode04;5;1
67;tells;;VERB;VBZ;ROOT;[7, 12];tell;lord_voldemort;;;HarryPotter.Episode04;5;2
68;me;lord_voldemort;PRON;PRP;dative;[13, 15];me;lord_voldemort;;16;HarryPotter.Episode04;5;3
69;the;;DET;DT;det;[16, 19];the;lord_voldemort;;;HarryPotter.Episode04;5;4
70;old;old;ADJ;JJ;amod;[20, 23];old;lord_voldemort;;17;HarryPotter.Episode04;5;5
71;caretaker;;NOUN;NN;nsubj;[24, 33];caretaker;lord_voldemort;;;HarryPotter.Episode04;5;6
72;is;;AUX;VBZ;aux;[34, 36];is;lord_voldemort;;;HarryPotter.Episode04;5;7
73;standing;;VERB;VBG;ccomp;[37, 45];standing;lord_voldemort;;;HarryPotter.Episode04;5;8
74;outside;;ADP;IN;prep;[46, 53];outside;lord_voldemort;;;HarryPotter.Episode04;5;9
75;the;;DET;DT;det;[54, 57];the;lord_voldemort;;;HarryPotter.Episode04;5;10
76;door;;NOUN;NN;pobj;[58, 62];door;lord_voldemort;;;HarryPotter.Episode04;5;11
77;.;;PUNCT;.;punct;[63, 64];.;lord_voldemort;;;HarryPotter.Episode04;5;12
78;;;;;;;;;;;;;
79;lord_voldemort Step;;VERB;VB;ROOT;[0, 4];Step;lord_voldemort;;;HarryPotter.Episode04;6;1
80;aside;;ADV;RB;advmod;[5, 10];aside;lord_voldemort;;;HarryPotter.Episode04;6;2
81;so;;ADV;RB;mark;[11, 13];so;lord_voldemort;;;HarryPotter.Episode04;6;3
82;I;lord_voldemort;PRON;PRP;nsubj;[14, 15];I;lord_voldemort;;18;HarryPotter.Episode04;6;4
83;can;;VERB;MD;aux;[16, 19];can;lord_voldemort;;;HarryPotter.Episode04;6;5
84;give;;VERB;VB;advcl;[20, 24];give;lord_voldemort;;;HarryPotter.Episode04;6;6
85;our;multiple_persons;DET;PRP$;poss;[25, 28];our;lord_voldemort;;19;HarryPotter.Episode04;6;7
86;guest;;NOUN;NN;dative;[29, 34];guest;lord_voldemort;;;HarryPotter.Episode04;6;8
87;a;;DET;DT;det;[35, 36];a;lord_voldemort;;;HarryPotter.Episode04;6;9
88;proper;;ADJ;JJ;amod;[37, 43];proper;lord_voldemort;;;HarryPotter.Episode04;6;10
89;greeting;;NOUN;NN;dobj;[44, 52];greeting;lord_voldemort;;;HarryPotter.Episode04;6;11
90;.;;PUNCT;.;punct;[53, 54];.;lord_voldemort;;;HarryPotter.Episode04;6;12
91;;;;;;;;;;;;;
92;hermione_granger Harry;harry_potter;PROPN;NNP;ROOT;[0, 5];Harry;hermione_granger;;20;HarryPotter.Episode04;7;1
93;!;;PUNCT;.;punct;[6, 7];!;hermione_granger;;;HarryPotter.Episode04;7;2
94;;;;;;;;;;;;;
95;hermione_granger Are;;AUX;VBP;ROOT;[0, 3];Are;hermione_granger;;;HarryPotter.Episode04;8;1
96;you;hermione_granger;PRON;PRP;nsubj;[4, 7];you;hermione_granger;;21;HarryPotter.Episode04;8;2
97;alright;;ADJ;JJ;acomp;[8, 15];alright;hermione_granger;;;HarryPotter.Episode04;8;3
98;?;;PUNCT;.;punct;[16, 17];?;hermione_granger;;;HarryPotter.Episode04;8;4
99;;;;;;;;;;;;;
100;hermione_granger Just;;ADV;RB;advmod;[0, 4];Just;hermione_granger;;;HarryPotter.Episode04;9;1
101;now;;ADV;RB;advmod;[5, 8];now;hermione_granger;;;HarryPotter.Episode04;9;2
102;.;;PUNCT;.;punct;[9, 10];.;hermione_granger;;;HarryPotter.Episode04;9;3
103;You;harry_potter;PRON;PRP;ROOT;[11, 14];You;hermione_granger;;22;HarryPotter.Episode04;9;4
104;?;;PUNCT;.;punct;[15, 16];?;hermione_granger;;;HarryPotter.Episode04;9;5
105;;;;;;;;;;;;;
106;harry_potter Last;;ADJ;JJ;amod;[0, 4];Last;harry_potter;;;HarryPotter.Episode04;10;1
107;night;;NOUN;NN;npadvmod;[5, 10];night;harry_potter;;;HarryPotter.Episode04;10;2
108;];;PUNCT;-RRB-;punct;[11, 12];];harry_potter;;;HarryPotter.Episode04;10;3
109;.;;PUNCT;.;punct;[13, 14];.;harry_potter;;;HarryPotter.Episode04;10;4
110;;;;;;;;;;;;;
111;hermione_granger Wake;;VERB;VB;ROOT;[0, 4];Wake;hermione_granger;;;HarryPotter.Episode04;11;1
112;up;;ADP;RP;prt;[5, 7];up;hermione_granger;;;HarryPotter.Episode04;11;2
113;.;;PUNCT;.;punct;[8, 9];.;hermione_granger;;;HarryPotter.Episode04;11;3
114;Wake;;VERB;VB;ROOT;[10, 14];Wake;hermione_granger;;;HarryPotter.Episode04;11;4
115;up;;ADP;RP;prt;[15, 17];up;hermione_granger;;;HarryPotter.Episode04;11;5
116;Ronald;;PROPN;NNP;dobj;[18, 24];Ronald;hermione_granger;PERSON;;HarryPotter.Episode04;11;6
117;!;;PUNCT;.;punct;[25, 26];!;hermione_granger;;;HarryPotter.Episode04;11;7
118;;;;;;;;;;;;;
119;ron_weasley Bloody;;PROPN;NNP;compound;[0, 6];Bloody;ron_weasley;;;HarryPotter.Episode04;12;1
120;hell;;NOUN;NN;ROOT;[7, 11];hell;ron_weasley;;;HarryPotter.Episode04;12;2
121;.;;PUNCT;.;punct;[12, 13];.;ron_weasley;;;HarryPotter.Episode04;12;3
122;;;;;;;;;;;;;
123;hermione_granger Honestly;;ADV;RB;advmod;[0, 8];Honestly;hermione_granger;;;HarryPotter.Episode04;13;1
124;.;;PUNCT;.;punct;[9, 10];.;hermione_granger;;;HarryPotter.Episode04;13;2
125;Get;;AUX;VB;ROOT;[11, 14];Get;hermione_granger;;;HarryPotter.Episode04;13;3
126;dressed;;ADJ;JJ;acomp;[15, 22];dressed;hermione_granger;;;HarryPotter.Episode04;13;4
127;,;;PUNCT;,;punct;[23, 24];,;hermione_granger;;;HarryPotter.Episode04;13;5
128;and;;CCONJ;CC;cc;[25, 28];and;hermione_granger;;;HarryPotter.Episode04;13;6
129;do;;AUX;VB;aux;[29, 31];do;hermione_granger;;;HarryPotter.Episode04;13;7
130;n't;;PART;RB;neg;[32, 35];n't;hermione_granger;;;HarryPotter.Episode04;13;8
131;go;;VERB;VB;conj;[36, 38];go;hermione_granger;;;HarryPotter.Episode04;13;9
132;back;;ADV;RB;advmod;[39, 43];back;hermione_granger;;;HarryPotter.Episode04;13;10
133;to;;ADP;IN;prep;[44, 46];to;hermione_granger;;;HarryPotter.Episode04;13;11
134;sleep;;NOUN;NN;pobj;[47, 52];sleep;hermione_granger;;;HarryPotter.Episode04;13;12
135;.;;PUNCT;.;punct;[53, 54];.;hermione_granger;;;HarryPotter.Episode04;13;13
136;Come;;VERB;VB;ROOT;[55, 59];Come;hermione_granger;;;HarryPotter.Episode04;13;14
137;on;;ADP;RP;prep;[60, 62];on;hermione_granger;;;HarryPotter.Episode04;13;15
138;Ron;ron_weasley;PROPN;NNP;pobj;[63, 66];Ron;hermione_granger;PERSON;23;HarryPotter.Episode04;13;16
139;!;;PUNCT;.;punct;[67, 68];!;hermione_granger;;;HarryPotter.Episode04;13;17
140;Your;ron_weasley;DET;PRP$;poss;[69, 73];Your;hermione_granger;;24;HarryPotter.Episode04;13;18
141;mother;PARENTS;NOUN;NN;nsubj;[74, 80];mother;hermione_granger;;25;HarryPotter.Episode04;13;19
142;says;;VERB;VBZ;ROOT;[81, 85];say;hermione_granger;;;HarryPotter.Episode04;13;20
143;breakfast;;NOUN;NN;dobj;[86, 95];breakfast;hermione_granger;;;HarryPotter.Episode04;13;21
144;'s;;PART;POS;case;[96, 98];'s;hermione_granger;;;HarryPotter.Episode04;13;22
145;ready;;ADJ;JJ;amod;[99, 104];ready;hermione_granger;;;HarryPotter.Episode04;13;23
146;.;;PUNCT;.;punct;[105, 106];.;hermione_granger;;;HarryPotter.Episode04;13;24
147;;;;;;;;;;;;;
148;harry_potter Where;;ADV;WRB;advmod;[0, 5];Where;harry_potter;;;HarryPotter.Episode04;14;1
149;are;;AUX;VBP;aux;[6, 9];are;harry_potter;;;HarryPotter.Episode04;14;2
150;we;multiple_persons;PRON;PRP;nsubj;[10, 12];we;harry_potter;;26;HarryPotter.Episode04;14;3
151;actually;;ADV;RB;advmod;[13, 21];actually;harry_potter;;;HarryPotter.Episode04;14;4
152;going;;VERB;VBG;ROOT;[22, 27];going;harry_potter;;;HarryPotter.Episode04;14;5
153;?;;PUNCT;.;punct;[28, 29];?;harry_potter;;;HarryPotter.Episode04;14;6
154;;;;;;;;;;;;;
155;ron_weasley Do;;AUX;VBP;aux;[0, 2];Do;ron_weasley;;;HarryPotter.Episode04;15;1
156;n't;;PART;RB;neg;[3, 6];n't;ron_weasley;;;HarryPotter.Episode04;15;2
157;know;;VERB;VB;ROOT;[7, 11];know;ron_weasley;;;HarryPotter.Episode04;15;3
158;.;;PUNCT;.;punct;[12, 13];.;ron_weasley;;;HarryPotter.Episode04;15;4
159;Hey;;INTJ;UH;ROOT;[14, 17];Hey;ron_weasley;;;HarryPotter.Episode04;15;5
160;Dad;ron_weasley's_father;PROPN;NNP;intj;[18, 21];Dad;ron_weasley;;27;HarryPotter.Episode04;15;6
161;!;;PUNCT;.;punct;[22, 23];!;ron_weasley;;;HarryPotter.Episode04;15;7
162;Where;;ADV;WRB;advmod;[24, 29];Where;ron_weasley;;;HarryPotter.Episode04;15;8
