;Unnamed: 0;token;referenceTo;POS;TAG;dep;idChar;lemma;speaker;entityType;idEntity;idDoc;idSent;idWord;labelDoccano
0;0;michael_dawson Walt;walt_lloyd;PROPN;NNP;npadvmod;[0, 4];Walt;michael_dawson;;1.0;Lost.Season01.Episode04;1.0;1.0;walt_lloyd
1;1;,;;PUNCT;,;punct;[5, 6];,;michael_dawson;;;Lost.Season01.Episode04;1.0;2.0;
2;2;you;;PRON;PRP;nsubj;[7, 10];you;michael_dawson;;;Lost.Season01.Episode04;1.0;3.0;walt_lloyd
3;3;got;;VERB;VBD;ROOT;[11, 14];got;michael_dawson;;;Lost.Season01.Episode04;1.0;4.0;
4;4;ta;;PART;TO;aux;[15, 17];ta;michael_dawson;;;Lost.Season01.Episode04;1.0;5.0;
5;5;keep;;VERB;VB;xcomp;[18, 22];keep;michael_dawson;;;Lost.Season01.Episode04;1.0;6.0;
6;6;that;;DET;DT;det;[23, 27];that;michael_dawson;;;Lost.Season01.Episode04;1.0;7.0;
7;7;dog;;NOUN;NN;dobj;[28, 31];dog;michael_dawson;;;Lost.Season01.Episode04;1.0;8.0;
8;8;quiet;;ADJ;JJ;oprd;[32, 37];quiet;michael_dawson;;;Lost.Season01.Episode04;1.0;9.0;
9;9;.;;PUNCT;.;punct;[38, 39];.;michael_dawson;;;Lost.Season01.Episode04;1.0;10.0;
10;10;;;;;;;;;;;;;;
11;11;walt_lloyd I;walt_lloyd;PRON;PRP;nsubj;[0, 1];I;walt_lloyd;;2.0;Lost.Season01.Episode04;2.0;1.0;walt_lloyd
12;12;do;;AUX;VBP;aux;[2, 4];do;walt_lloyd;;;Lost.Season01.Episode04;2.0;2.0;
13;13;n't;;PART;RB;neg;[5, 8];n't;walt_lloyd;;;Lost.Season01.Episode04;2.0;3.0;
14;14;know;;VERB;VB;ROOT;[9, 13];know;walt_lloyd;;;Lost.Season01.Episode04;2.0;4.0;
15;15;what;;PRON;WP;nsubj;[14, 18];what;walt_lloyd;;;Lost.Season01.Episode04;2.0;5.0;
16;16;'s;;AUX;VBZ;ccomp;[19, 21];'s;walt_lloyd;;;Lost.Season01.Episode04;2.0;6.0;
17;17;wrong;;ADJ;JJ;acomp;[22, 27];wrong;walt_lloyd;;;Lost.Season01.Episode04;2.0;7.0;
18;18;with;;ADP;IN;prep;[28, 32];with;walt_lloyd;;;Lost.Season01.Episode04;2.0;8.0;
19;19;him;UNKNOWN;PRON;PRP;pobj;[33, 36];him;walt_lloyd;;3.0;Lost.Season01.Episode04;2.0;9.0;vincent_the_dog
20;20;.;;PUNCT;.;punct;[37, 38];.;walt_lloyd;;;Lost.Season01.Episode04;2.0;10.0;
21;21;Come;;VERB;VB;advcl;[39, 43];Come;walt_lloyd;;;Lost.Season01.Episode04;2.0;11.0;
22;22;on;;ADP;RP;prt;[44, 46];on;walt_lloyd;;;Lost.Season01.Episode04;2.0;12.0;
