	idSent	idChar	label
0	1	[0, 4]	walt_lloyd
1	1	[7, 11]	walt_lloyd
2	2		
3	3	[30, 32]	REDSHIRT
4	3	[55, 57]	REDSHIRT
5	4	[20, 22]	dr_jack_shephard
6	4	[70, 72]	dr_jack_shephard
7	4	[4, 7]	multiple_persons
8	4	[32, 35]	multiple_persons
9	5	[19, 21]	claire_littleton
10	5	[29, 31]	claire_littleton
11	5	[46, 48]	claire_littleton
12	6	[16, 19]	REDSHIRT_
13	6	[38, 41]	REDSHIRT_
14	6	[69, 72]	REDSHIRT_
15	7	[5, 7]	claire_littleton
16	7	[19, 20]	claire_littleton
17	7	[33, 34]	claire_littleton
18	8	[29, 32]	claire_littleton
19	9	[0, 1]	claire_littleton
20	9	[7, 8]	claire_littleton
21	10		
22	11	[0, 1]	claire_littleton
23	12		
24	13		
25	14	[10, 12]	dr_jack_shephard
26	14	[23, 25]	dr_jack_shephard
27	14	[73, 75]	dr_jack_shephard
28	14	[28, 31]	claire_littleton
29	14	[58, 61]	claire_littleton
30	14	[82, 85]	claire_littleton
31	15	[6, 9]	hugo_reyes
32	15	[24, 25]	dr_jack_shephard
33	15	[31, 34]	hugo_reyes
34	15	[82, 85]	UNKNOWN
35	15	[109, 112]	UNKNOWN
36	15	[118, 121]	UNKNOWN
37	15	[192, 194]	dr_jack_shephard
38	16	[5, 8]	dr_jack_shephard
39	16	[27, 29]	hugo_reyes
40	17	[0, 1]	dr_jack_shephard
41	18		
42	19	[14, 18]	dr_jack_shephard
43	20	[0, 4]	dr_jack_shephard
44	21	[48, 51]	boone_carlyle
45	21	[7, 10]	UNKNOWN
46	21	[73, 76]	UNKNOWN
47	22	[0, 3]	dr_jack_shephard
48	23	[21, 22]	boone_carlyle
49	23	[35, 36]	boone_carlyle
50	23	[54, 55]	boone_carlyle
51	24	[14, 17]	boone_carlyle
52	25	[6, 8]	multiple_persons
53	25	[46, 49]	dr_jack_shephard
54	26	[30, 32]	dr_jack_shephard
55	26	[19, 22]	boone_carlyle
56	27		
57	28		
58	29	[25, 28]	claire_littleton
59	29	[38, 41]	claire_littleton
60	30	[0, 3]	claire_littleton
61	31		
62	32	[0, 3]	hugo_reyes
63	32	[18, 21]	claire_littleton
64	33	[7, 8]	hugo_reyes
65	33	[0, 4]	dr_jack_shephard
66	34	[0, 1]	boone_carlyle
67	35		
68	36	[7, 9]	dr_jack_shephard
69	36	[16, 19]	kate_austen
70	37		
71	38	[4, 7]	kate_austen
72	39	[0, 1]	kate_austen
73	39	[10, 11]	kate_austen
74	39	[31, 33]	kate_austen
75	40	[32, 35]	kate_austen
76	40	[52, 53]	dr_jack_shephard
77	41		
78	42		
79	43	[7, 8]	dr_jack_shephard
80	43	[18, 24]	dr_jack_shephard
81	43	[27, 28]	dr_jack_shephard
82	43	[47, 48]	dr_jack_shephard
83	44	[0, 3]	dr_jack_shephard
84	44	[9, 11]	kate_austen
85	45		
86	46	[21, 22]	kate_austen
87	47	[5, 8]	kate_austen
88	47	[23, 24]	dr_jack_shephard
89	47	[36, 39]	kate_austen
90	47	[45, 48]	kate_austen
91	48	[10, 11]	kate_austen
92	49	[22, 26]	kate_austen
93	49	[40, 42]	dr_jack_shephard
94	50		
95	51		
96	52		
97	53	[4, 7]	charlie_pace
98	53	[18, 22]	charlie_pace
99	54	[0, 2]	charlie_pace
100	54	[5, 12]	charlie_pace
101	55	[0, 7]	charlie_pace
102	55	[10, 12]	multiple_persons
103	56	[7, 8]	charlie_pace
104	56	[28, 32]	sayid_jarrah
105	57	[0, 5]	sayid_jarrah
106	58	[0, 5]	sayid_jarrah
107	58	[8, 9]	charlie_pace
