;token;referenceTo;POS;TAG;dep;idChar;lemma;speaker;entityType;idEntity;idDoc;idSent;idWord
0;sayid_jarrah I;sayid_jarrah;PRON;PRP;nsubj;[0, 1];I;sayid_jarrah;;1;Lost.Season01.Episode13;1;1
1;brought;;VERB;VBD;ROOT;[2, 9];brought;sayid_jarrah;;;Lost.Season01.Episode13;1;2
2;you;;PRON;PRP;dative;[10, 13];you;sayid_jarrah;;;Lost.Season01.Episode13;1;3
3;a;;DET;DT;det;[14, 15];a;sayid_jarrah;;;Lost.Season01.Episode13;1;4
4;present;;NOUN;NN;dobj;[16, 23];present;sayid_jarrah;;;Lost.Season01.Episode13;1;5
5;for;;ADP;IN;prep;[24, 27];for;sayid_jarrah;;;Lost.Season01.Episode13;1;6
6;helping;;VERB;VBG;pcomp;[28, 35];helping;sayid_jarrah;;;Lost.Season01.Episode13;1;7
7;me;sayid_jarrah;PRON;PRP;dobj;[36, 38];me;sayid_jarrah;;2;Lost.Season01.Episode13;1;8
8;with;;ADP;IN;prep;[39, 43];with;sayid_jarrah;;;Lost.Season01.Episode13;1;9
9;the;;DET;DT;det;[44, 47];the;sayid_jarrah;;;Lost.Season01.Episode13;1;10
10;translations;;NOUN;NNS;pobj;[48, 60];translation;sayid_jarrah;;;Lost.Season01.Episode13;1;11
11;.;;PUNCT;.;punct;[61, 62];.;sayid_jarrah;;;Lost.Season01.Episode13;1;12
12;I;sayid_jarrah;PRON;PRP;nsubj;[63, 64];I;sayid_jarrah;;3;Lost.Season01.Episode13;1;13
13;did;;AUX;VBD;aux;[65, 68];did;sayid_jarrah;;;Lost.Season01.Episode13;1;14
14;n't;;PART;RB;neg;[69, 72];n't;sayid_jarrah;;;Lost.Season01.Episode13;1;15
15;have;;AUX;VB;ROOT;[73, 77];have;sayid_jarrah;;;Lost.Season01.Episode13;1;16
16;a;;DET;DT;det;[78, 79];a;sayid_jarrah;;;Lost.Season01.Episode13;1;17
17;chance;;NOUN;NN;dobj;[80, 86];chance;sayid_jarrah;;;Lost.Season01.Episode13;1;18
18;to;;PART;TO;aux;[87, 89];to;sayid_jarrah;;;Lost.Season01.Episode13;1;19
19;get;;AUX;VB;acl;[90, 93];get;sayid_jarrah;;;Lost.Season01.Episode13;1;20
20;it;;PRON;PRP;nsubj;[94, 96];it;sayid_jarrah;;;Lost.Season01.Episode13;1;21
21;gift;;NOUN;NN;npadvmod;[97, 101];gift;sayid_jarrah;;;Lost.Season01.Episode13;1;22
22;-;;PUNCT;HYPH;punct;[102, 103];-;sayid_jarrah;;;Lost.Season01.Episode13;1;23
23;wrapped;;VERB;VBN;ccomp;[104, 111];wrapped;sayid_jarrah;;;Lost.Season01.Episode13;1;24
24;,;;PUNCT;,;punct;[112, 113];,;sayid_jarrah;;;Lost.Season01.Episode13;1;25
25;so;;ADV;RB;advmod;[114, 116];so;sayid_jarrah;;;Lost.Season01.Episode13;1;26
26;--;;PUNCT;:;punct;[117, 119];--;sayid_jarrah;;;Lost.Season01.Episode13;1;27
27;.;;PUNCT;.;punct;[120, 121];.;sayid_jarrah;;;Lost.Season01.Episode13;1;28
28;I;sayid_jarrah;PRON;PRP;nsubj;[122, 123];I;sayid_jarrah;;4;Lost.Season01.Episode13;1;29
29;found;;VERB;VBD;ROOT;[124, 129];found;sayid_jarrah;;;Lost.Season01.Episode13;1;30
30;these;;DET;DT;dobj;[130, 135];these;sayid_jarrah;;;Lost.Season01.Episode13;1;31
31;in;;ADP;IN;prep;[136, 138];in;sayid_jarrah;;;Lost.Season01.Episode13;1;32
32;the;;DET;DT;det;[139, 142];the;sayid_jarrah;;;Lost.Season01.Episode13;1;33
33;wreckage;;NOUN;NN;pobj;[143, 151];wreckage;sayid_jarrah;;;Lost.Season01.Episode13;1;34
34;and;;CCONJ;CC;cc;[152, 155];and;sayid_jarrah;;;Lost.Season01.Episode13;1;35
35;I;sayid_jarrah;PRON;PRP;nsubj;[156, 157];I;sayid_jarrah;;5;Lost.Season01.Episode13;1;36
36;have;;AUX;VBP;ROOT;[158, 162];have;sayid_jarrah;;;Lost.Season01.Episode13;1;37
37;no;;DET;DT;det;[163, 165];no;sayid_jarrah;;;Lost.Season01.Episode13;1;38
38;use;;NOUN;NN;dobj;[166, 169];use;sayid_jarrah;;;Lost.Season01.Episode13;1;39
39;for;;ADP;IN;prep;[170, 173];for;sayid_jarrah;;;Lost.Season01.Episode13;1;40
40;them;;PRON;PRP;pobj;[174, 178];them;sayid_jarrah;;;Lost.Season01.Episode13;1;41
41;personally;;ADV;RB;advmod;[179, 189];personally;sayid_jarrah;;;Lost.Season01.Episode13;1;42
42;.;;PUNCT;.;punct;[190, 191];.;sayid_jarrah;;;Lost.Season01.Episode13;1;43
43;;;;;;;;;;;;;
44;shannon_rutherford They;;PRON;PRP;nsubj;[0, 4];They;shannon_rutherford;;;Lost.Season01.Episode13;2;1
45;are;;AUX;VBP;ROOT;[5, 8];are;shannon_rutherford;;;Lost.Season01.Episode13;2;2
46;actually;;ADV;RB;advmod;[9, 17];actually;shannon_rutherford;;;Lost.Season01.Episode13;2;3
47;my;shannon_rutherford;DET;PRP$;poss;[18, 20];my;shannon_rutherford;;6;Lost.Season01.Episode13;2;4
48;size;;NOUN;NN;attr;[21, 25];size;shannon_rutherford;;;Lost.Season01.Episode13;2;5
49;.;;PUNCT;.;punct;[26, 27];.;shannon_rutherford;;;Lost.Season01.Episode13;2;6
50;Well;;INTJ;UH;intj;[28, 32];Well;shannon_rutherford;;;Lost.Season01.Episode13;2;7
51;,;;PUNCT;,;punct;[33, 34];,;shannon_rutherford;;;Lost.Season01.Episode13;2;8
52;half;;DET;PDT;predet;[35, 39];half;shannon_rutherford;CARDINAL;;Lost.Season01.Episode13;2;9
53;a;;DET;DT;det;[40, 41];a;shannon_rutherford;;;Lost.Season01.Episode13;2;10
54;size;;NOUN;NN;npadvmod;[42, 46];size;shannon_rutherford;;;Lost.Season01.Episode13;2;11
55;off;;ADP;RP;ROOT;[47, 50];off;shannon_rutherford;;;Lost.Season01.Episode13;2;12
56;,;;PUNCT;,;punct;[51, 52];,;shannon_rutherford;;;Lost.Season01.Episode13;2;13
57;but;;CCONJ;CC;cc;[53, 56];but;shannon_rutherford;;;Lost.Season01.Episode13;2;14
58;,;;PUNCT;,;punct;[57, 58];,;shannon_rutherford;;;Lost.Season01.Episode13;2;15
59;I;shannon_rutherford;PRON;PRP;nsubj;[59, 60];I;shannon_rutherford;;7;Lost.Season01.Episode13;2;16
60;swear;;VERB;VBP;ROOT;[61, 66];swear;shannon_rutherford;;;Lost.Season01.Episode13;2;17
61;this;;DET;DT;det;[67, 71];this;shannon_rutherford;;;Lost.Season01.Episode13;2;18
62;place;;NOUN;NN;nsubj;[72, 77];place;shannon_rutherford;;;Lost.Season01.Episode13;2;19
