airplane crash	1.0
directed by j.j. abrams	Non
written by j.j. abrams	Non
produced by j.j. abrams	Non
survivor	Non
island	Non
pilot	Non
forest	Non
ocean	Non
attack	Non
beach	Non
friends who live together	Non
cigarette smoking	Non
rain	Non
flashback	Non
musician	Non
orange	Non
turbulence	Non
alcohol	Non
ice	Non
lifeguard	Non
stewardess	Non
dead body	Non
night sky	Non
flashlight	Non
hoodie	Non
withdrawal	Non
phone	Non
fire	Non
sunset	Non
lighter	Non
wound	Non
crying	Non
tattoo	Non
running	Non
beard	Non
blood	Non
medical doctor	Non
shirt	Non
pen	Non
pregnant woman	Non
tie	Non
suit	Non
sweat	Non
swimming in underwear	Non
dog	Non
sucked into jet engine	Non
mysterious island	Non
hawaii	0.0
