unstuck in time	1.0
helicopter	Non
friends who live together	Non
telephone call	Non
water left running	Non
urinal	Non
thunderstorm	Non
telephone number	Non
southfields	Non
shouting	Non
restroom	Non
rain	Non
push ups	Non
photograph	Non
phone booth	Non
panic	Non
oxford university	Non
navigation	Non
mud	Non
maze	Non
madagascar	Non
loading truck	Non
lightning	Non
lab rat	Non
island	Non
helecopter landing on boat	Non
globe	Non
glasgow scotland	Non
flying over the ocean	Non
fleur de lis	Non
flashback	Non
fiji	Non
diagram	Non
chalkboard	Non
body bag	Non
boat	Non
beret	Non
bell 205 helecopter	Non
barracks	Non
army training	Non
alarm	Non
university	Non
turbulence	Non
time	Non
number	Non
freighter	Non
formula	Non
experiment	Non
auction	Non
