carjacker	1.0
puerto rican american	Non
animal in episode title	Non
dog in episode title	Non
support group	Non
regret	Non
hot tub	Non
hitchhiker	Non
corpse	Non
escaping from bonds	Non
male tied up	Non
father son relationship	Non
drunkenness	Non
anniversary party	Non
wedding anniversary	Non
robbery	Non
loss of wife	Non
illegitimate son	Non
humiliation	Non
gun	Non
guilt	Non
gasoline	Non
flatulence	Non
father son reunion	Non
driving	Non
dog	Non
death threat	Non
car theft	Non
beating	Non
beach	Non
title spoken by character	Non
