;Unnamed: 0;token;referenceTo;POS;TAG;dep;idChar;lemma;speaker;entityType;idEntity;idDoc;idSent;idWord;labelDoccano
0;0;anakin_skywalker There;;PRON;EX;expl;[0, 5];There;anakin_skywalker;;;StarWars.Episode03;1.0;1.0;
1;1;is;;AUX;VBZ;ROOT;[6, 8];is;anakin_skywalker;;;StarWars.Episode03;1.0;2.0;
2;2;n't;;PART;RB;neg;[9, 12];n't;anakin_skywalker;;;StarWars.Episode03;1.0;3.0;
3;3;a;;DET;DT;det;[13, 14];a;anakin_skywalker;;;StarWars.Episode03;1.0;4.0;
4;4;droid;medical_droid;NOUN;NN;attr;[15, 20];droid;anakin_skywalker;;1.0;StarWars.Episode03;1.0;5.0;
5;5;made;;VERB;VBN;acl;[21, 25];made;anakin_skywalker;;;StarWars.Episode03;1.0;6.0;
6;6;that;;DET;WDT;nsubj;[26, 30];that;anakin_skywalker;;;StarWars.Episode03;1.0;7.0;
7;7;can;;VERB;MD;aux;[31, 34];can;anakin_skywalker;;;StarWars.Episode03;1.0;8.0;
8;8;out;;ADV;RB;advmod;[35, 38];out;anakin_skywalker;;;StarWars.Episode03;1.0;9.0;
9;9;fly;;VERB;VB;ccomp;[39, 42];fly;anakin_skywalker;;;StarWars.Episode03;1.0;10.0;
10;10;you;;PRON;PRP;dobj;[43, 46];you;anakin_skywalker;;;StarWars.Episode03;1.0;11.0;
11;11;,;;PUNCT;,;punct;[47, 48];,;anakin_skywalker;;;StarWars.Episode03;1.0;12.0;
12;12;Master;;PROPN;NNP;conj;[49, 55];Master;anakin_skywalker;;;StarWars.Episode03;1.0;13.0;obiwan_kenobi
13;13;,;;PUNCT;,;punct;[56, 57];,;anakin_skywalker;;;StarWars.Episode03;1.0;14.0;
14;14;and;;CCONJ;CC;cc;[58, 61];and;anakin_skywalker;;;StarWars.Episode03;1.0;15.0;
15;15;no;;DET;DT;det;[62, 64];no;anakin_skywalker;;;StarWars.Episode03;1.0;16.0;
16;16;other;;ADJ;JJ;amod;[65, 70];other;anakin_skywalker;;;StarWars.Episode03;1.0;17.0;
17;17;way;;NOUN;NN;conj;[71, 74];way;anakin_skywalker;;;StarWars.Episode03;1.0;18.0;
18;18;to;;PART;TO;aux;[75, 77];to;anakin_skywalker;;;StarWars.Episode03;1.0;19.0;
19;19;get;;AUX;VB;advcl;[78, 81];get;anakin_skywalker;;;StarWars.Episode03;1.0;20.0;
20;20;to;;ADP;IN;prep;[82, 84];to;anakin_skywalker;;;StarWars.Episode03;1.0;21.0;
21;21;the;;DET;DT;det;[85, 88];the;anakin_skywalker;;;StarWars.Episode03;1.0;22.0;
22;22;Chancellor;senator_palpatine;PROPN;NNP;pobj;[89, 99];Chancellor;anakin_skywalker;;2.0;StarWars.Episode03;1.0;23.0;senator_palpatine
23;23;.;;PUNCT;.;punct;[100, 101];.;anakin_skywalker;;;StarWars.Episode03;1.0;24.0;
24;24;.;;PUNCT;.;punct;[102, 103];.;anakin_skywalker;;;StarWars.Episode03;1.0;25.0;
25;25;.;;PUNCT;.;punct;[104, 105];.;anakin_skywalker;;;StarWars.Episode03;1.0;26.0;
26;26;;;;;;;;;;;;;;
27;27;obiwan_kenobi Look;;VERB;VB;ROOT;[0, 4];Look;obiwan_kenobi;;;StarWars.Episode03;2.0;1.0;
28;28;out;;ADP;RP;prt;[5, 8];out;obiwan_kenobi;;;StarWars.Episode03;2.0;2.0;
29;29;,;;PUNCT;,;punct;[9, 10];,;obiwan_kenobi;;;StarWars.Episode03;2.0;3.0;
30;30;four;;NUM;CD;nummod;[11, 15];four;obiwan_kenobi;CARDINAL;;StarWars.Episode03;2.0;4.0;
31;31;droids;;NOUN;NNS;npadvmod;[16, 22];droids;obiwan_kenobi;;;StarWars.Episode03;2.0;5.0;
32;32;inbound;;ADV;RB;advmod;[23, 30];inbound;obiwan_kenobi;;;StarWars.Episode03;2.0;6.0;
