	idSent	idChar	label
0	1	[49, 55]	obiwan_kenobi
1	1	[89, 99]	senator_palpatine
2	2		
3	3	[0, 2]	multiple_persons
4	4		
5	5	[9, 12]	anakin_skywalker
6	5	[33, 34]	obiwan_kenobi
7	6	[15, 16]	anakin_skywalker
8	6	[41, 44]	obiwan_kenobi
9	7	[0, 6]	anakin_skywalker
10	7	[27, 29]	obiwan_kenobi
11	8	[37, 40]	UNKNOWN
12	8	[55, 57]	multiple_persons
13	8	[62, 65]	UNKNOWN
14	8	[43, 48]	r2d2
15	8	[68, 73]	r2d2
16	9	[0, 1]	anakin_skywalker
17	9	[9, 14]	r2d2
18	10	[0, 1]	obiwan_kenobi
19	11	[14, 15]	anakin_skywalker
20	11	[60, 63]	obiwan_kenobi
21	11	[69, 71]	anakin_skywalker
22	11	[99, 102]	UNKNOWN
23	11	[119, 122]	obiwan_kenobi
24	11	[135, 140]	r2d2
25	12	[11, 12]	obiwan_kenobi
26	12	[76, 77]	obiwan_kenobi
27	12	[67, 73]	UNKNOWN
28	13	[0, 2]	multiple_persons
29	13	[21, 23]	multiple_persons
30	13	[32, 35]	UNKNOWN
31	13	[49, 51]	multiple_persons
32	13	[56, 59]	UNKNOWN
33	13	[79, 84]	r2d2
34	14	[10, 13]	anakin_skywalker
35	15	[34, 41]	general_grievous
36	15	[42, 50]	general_grievous
37	15	[17, 22]	r2d2
38	15	[25, 31]	obiwan_kenobi
39	16	[0, 1]	obiwan_kenobi
40	17	[10, 16]	obiwan_kenobi
41	18	[45, 47]	multiple_persons
42	18	[60, 63]	odd_ball
43	18	[64, 68]	odd_ball
44	18	[74, 77]	odd_ball
45	19	[7, 10]	obiwan_kenobi
46	19	[11, 17]	obiwan_kenobi
47	20	[5, 7]	obiwan_kenobi
48	20	[47, 49]	obiwan_kenobi
49	20	[26, 30]	odd_ball
50	21	[0, 2]	multiple_persons
51	21	[10, 14]	obiwan_kenobi
52	21	[30, 36]	obiwan_kenobi
53	21	[22, 29]	obiwan_kenobi
54	22		
55	23		
56	24	[0, 1]	anakin_skywalker
57	25	[15, 21]	anakin_skywalker
58	26	[0, 1]	odd_ball
59	26	[8, 12]	obiwan_kenobi
60	26	[21, 24]	obiwan_kenobi
61	26	[25, 31]	obiwan_kenobi
62	27		
63	28		
64	29		
65	30	[0, 1]	obiwan_kenobi
66	31		
67	32	[10, 12]	obiwan_kenobi
68	32	[51, 53]	obiwan_kenobi
69	32	[98, 100]	multiple_persons
70	33	[0, 1]	anakin_skywalker
71	33	[21, 22]	anakin_skywalker
72	33	[43, 47]	obiwan_kenobi
73	34	[63, 65]	obiwan_kenobi
74	35	[22, 27]	r2d2
75	36	[0, 6]	anakin_skywalker
76	36	[9, 12]	anakin_skywalker
77	36	[26, 30]	anakin_skywalker
78	37	[0, 1]	anakin_skywalker
79	37	[9, 10]	anakin_skywalker
80	38	[23, 27]	anakin_skywalker
81	39	[0, 1]	anakin_skywalker
82	39	[9, 10]	anakin_skywalker
83	40		
84	41	[0, 1]	anakin_skywalker
85	42	[0, 2]	anakin_skywalker
86	43	[33, 36]	obiwan_kenobi
87	43	[44, 45]	anakin_skywalker
88	43	[10, 15]	r2d2
89	43	[18, 21]	obiwan_kenobi
90	43	[24, 27]	obiwan_kenobi
91	44		
92	45		
93	46	[10, 12]	obiwan_kenobi
94	47	[0, 3]	anakin_skywalker
95	47	[34, 40]	anakin_skywalker
96	48	[19, 21]	multiple_persons
97	48	[7, 12]	r2d2
98	49	[22, 30]	anakin_skywalker
99	50		
100	51	[16, 21]	r2d2
101	52	[0, 1]	anakin_skywalker
102	53		
103	54	[8, 9]	clone_trooper
104	54	[72, 74]	clone_trooper
105	54	[90, 92]	clone_trooper
106	54	[16, 20]	anakin_skywalker
107	55	[0, 1]	anakin_skywalker
108	56	[38, 40]	multiple_persons
109	56	[48, 52]	multiple_persons
110	57		
111	58	[14, 16]	multiple_persons
112	59		
113	60	[12, 18]	UNKNOWN
114	61	[24, 29]	r2d2
115	62	[0, 2]	multiple_persons
116	62	[13, 18]	r2d2
117	63		
118	64	[0, 1]	obiwan_kenobi
119	64	[11, 17]	anakin_skywalker
120	65	[0, 1]	anakin_skywalker
121	66	[22, 25]	anakin_skywalker
122	66	[0, 6]	UNKNOWN
123	67		
124	68	[21, 22]	anakin_skywalker
125	69	[61, 62]	obiwan_kenobi
126	69	[48, 58]	senator_palpatine
127	70		
128	71		
129	72	[0, 6]	anakin_skywalker
