;token;referenceTo;POS;TAG;dep;idChar;lemma;speaker;entityType;idEntity;idDoc;idSent;idWord
0;anakin_skywalker There;;PRON;EX;expl;[0, 5];There;anakin_skywalker;;;StarWars.Episode03;1;1
1;is;;AUX;VBZ;ROOT;[6, 8];is;anakin_skywalker;;;StarWars.Episode03;1;2
2;n't;;PART;RB;neg;[9, 12];n't;anakin_skywalker;;;StarWars.Episode03;1;3
3;a;;DET;DT;det;[13, 14];a;anakin_skywalker;;;StarWars.Episode03;1;4
4;droid;medical_droid;NOUN;NN;attr;[15, 20];droid;anakin_skywalker;;1;StarWars.Episode03;1;5
5;made;;VERB;VBN;acl;[21, 25];made;anakin_skywalker;;;StarWars.Episode03;1;6
6;that;;DET;WDT;nsubj;[26, 30];that;anakin_skywalker;;;StarWars.Episode03;1;7
7;can;;VERB;MD;aux;[31, 34];can;anakin_skywalker;;;StarWars.Episode03;1;8
8;out;;ADV;RB;advmod;[35, 38];out;anakin_skywalker;;;StarWars.Episode03;1;9
9;fly;;VERB;VB;ccomp;[39, 42];fly;anakin_skywalker;;;StarWars.Episode03;1;10
10;you;;PRON;PRP;dobj;[43, 46];you;anakin_skywalker;;;StarWars.Episode03;1;11
11;,;;PUNCT;,;punct;[47, 48];,;anakin_skywalker;;;StarWars.Episode03;1;12
12;Master;;PROPN;NNP;conj;[49, 55];Master;anakin_skywalker;;;StarWars.Episode03;1;13
13;,;;PUNCT;,;punct;[56, 57];,;anakin_skywalker;;;StarWars.Episode03;1;14
14;and;;CCONJ;CC;cc;[58, 61];and;anakin_skywalker;;;StarWars.Episode03;1;15
15;no;;DET;DT;det;[62, 64];no;anakin_skywalker;;;StarWars.Episode03;1;16
16;other;;ADJ;JJ;amod;[65, 70];other;anakin_skywalker;;;StarWars.Episode03;1;17
17;way;;NOUN;NN;conj;[71, 74];way;anakin_skywalker;;;StarWars.Episode03;1;18
18;to;;PART;TO;aux;[75, 77];to;anakin_skywalker;;;StarWars.Episode03;1;19
19;get;;AUX;VB;advcl;[78, 81];get;anakin_skywalker;;;StarWars.Episode03;1;20
20;to;;ADP;IN;prep;[82, 84];to;anakin_skywalker;;;StarWars.Episode03;1;21
21;the;;DET;DT;det;[85, 88];the;anakin_skywalker;;;StarWars.Episode03;1;22
22;Chancellor;senator_palpatine;PROPN;NNP;pobj;[89, 99];Chancellor;anakin_skywalker;;2;StarWars.Episode03;1;23
23;.;;PUNCT;.;punct;[100, 101];.;anakin_skywalker;;;StarWars.Episode03;1;24
24;.;;PUNCT;.;punct;[102, 103];.;anakin_skywalker;;;StarWars.Episode03;1;25
25;.;;PUNCT;.;punct;[104, 105];.;anakin_skywalker;;;StarWars.Episode03;1;26
26;;;;;;;;;;;;;
27;obiwan_kenobi Look;;VERB;VB;ROOT;[0, 4];Look;obiwan_kenobi;;;StarWars.Episode03;2;1
28;out;;ADP;RP;prt;[5, 8];out;obiwan_kenobi;;;StarWars.Episode03;2;2
29;,;;PUNCT;,;punct;[9, 10];,;obiwan_kenobi;;;StarWars.Episode03;2;3
30;four;;NUM;CD;nummod;[11, 15];four;obiwan_kenobi;CARDINAL;;StarWars.Episode03;2;4
31;droids;;NOUN;NNS;npadvmod;[16, 22];droids;obiwan_kenobi;;;StarWars.Episode03;2;5
32;inbound;;ADV;RB;advmod;[23, 30];inbound;obiwan_kenobi;;;StarWars.Episode03;2;6
33;.;;PUNCT;.;punct;[31, 32];.;obiwan_kenobi;;;StarWars.Episode03;2;7
34;.;;PUNCT;.;punct;[33, 34];.;obiwan_kenobi;;;StarWars.Episode03;2;8
35;.;;PUNCT;.;punct;[35, 36];.;obiwan_kenobi;;;StarWars.Episode03;2;9
36;;;;;;;;;;;;;
37;obiwan_kenobi We;multiple_persons;PRON;PRP;nsubj;[0, 2];We;obiwan_kenobi;;3;StarWars.Episode03;3;1
38;'ve;;AUX;VB;aux;[3, 6];'ve;obiwan_kenobi;;;StarWars.Episode03;3;2
39;got;;VERB;VBN;ROOT;[7, 10];got;obiwan_kenobi;;;StarWars.Episode03;3;3
40;to;;PART;TO;aux;[11, 13];to;obiwan_kenobi;;;StarWars.Episode03;3;4
41;split;;VERB;VB;xcomp;[14, 19];split;obiwan_kenobi;;;StarWars.Episode03;3;5
42;them;;PRON;PRP;dobj;[20, 24];them;obiwan_kenobi;;;StarWars.Episode03;3;6
43;up;;ADP;RP;prt;[25, 27];up;obiwan_kenobi;;;StarWars.Episode03;3;7
44;.;;PUNCT;.;punct;[28, 29];.;obiwan_kenobi;;;StarWars.Episode03;3;8
45;;;;;;;;;;;;;
46;anakin_skywalker Break;;PROPN;NNP;nsubj;[0, 5];Break;anakin_skywalker;;;StarWars.Episode03;4;1
47;left;;VERB;VBD;ROOT;[6, 10];left;anakin_skywalker;;;StarWars.Episode03;4;2
48;,;;PUNCT;,;punct;[11, 12];,;anakin_skywalker;;;StarWars.Episode03;4;3
49;fly;;VERB;VB;conj;[13, 16];fly;anakin_skywalker;;;StarWars.Episode03;4;4
50;through;;ADP;IN;prep;[17, 24];through;anakin_skywalker;;;StarWars.Episode03;4;5
51;the;;DET;DT;det;[25, 28];the;anakin_skywalker;;;StarWars.Episode03;4;6
52;guns;;NOUN;NNS;pobj;[29, 33];gun;anakin_skywalker;;;StarWars.Episode03;4;7
53;on;;ADP;IN;prep;[34, 36];on;anakin_skywalker;;;StarWars.Episode03;4;8
54;that;;DET;DT;det;[37, 41];that;anakin_skywalker;;;StarWars.Episode03;4;9
55;tower;;NOUN;NN;pobj;[42, 47];tower;anakin_skywalker;;;StarWars.Episode03;4;10
56;.;;PUNCT;.;punct;[48, 49];.;anakin_skywalker;;;StarWars.Episode03;4;11
57;;;;;;;;;;;;;
58;obiwan_kenobi Easy;;PROPN;NNP;ROOT;[0, 4];Easy;obiwan_kenobi;;;StarWars.Episode03;5;1
59;for;;ADP;IN;mark;[5, 8];for;obiwan_kenobi;;;StarWars.Episode03;5;2
60;you;anakin_skywalker;PRON;PRP;nsubj;[9, 12];you;obiwan_kenobi;;4;StarWars.Episode03;5;3
61;to;;PART;TO;aux;[13, 15];to;obiwan_kenobi;;;StarWars.Episode03;5;4
62;say;;VERB;VB;advcl;[16, 19];say;obiwan_kenobi;;;StarWars.Episode03;5;5
63;.;;PUNCT;.;punct;[20, 21];.;obiwan_kenobi;;;StarWars.Episode03;5;6
64;.;;PUNCT;.;punct;[22, 23];.;obiwan_kenobi;;;StarWars.Episode03;5;7
65;.;;PUNCT;.;ROOT;[24, 25];.;obiwan_kenobi;;;StarWars.Episode03;5;8
66;why;;ADV;WRB;advmod;[26, 29];why;obiwan_kenobi;;;StarWars.Episode03;5;9
