;token;referenceTo;POS;TAG;dep;idChar;lemma;speaker;entityType;idEntity;idDoc;idSent;idWord
0;leonard_hofstadter See;;VERB;VB;nsubjpass;[0, 3];See;leonard_hofstadter;;;TheBigBangTheory.Season01.Episode10;1;1
1;,;;PUNCT;,;punct;[4, 5];,;leonard_hofstadter;;;TheBigBangTheory.Season01.Episode10;1;2
2;the;;DET;DT;det;[6, 9];the;leonard_hofstadter;;;TheBigBangTheory.Season01.Episode10;1;3
3;liquid;;ADJ;JJ;amod;[10, 16];liquid;leonard_hofstadter;;;TheBigBangTheory.Season01.Episode10;1;4
4;metal;;NOUN;NN;compound;[17, 22];metal;leonard_hofstadter;;;TheBigBangTheory.Season01.Episode10;1;5
5;Terminators;;NOUN;NNS;nsubjpass;[23, 34];Terminators;leonard_hofstadter;;;TheBigBangTheory.Season01.Episode10;1;6
6;were;;AUX;VBD;auxpass;[35, 39];were;leonard_hofstadter;;;TheBigBangTheory.Season01.Episode10;1;7
7;created;;VERB;VBN;ROOT;[40, 47];created;leonard_hofstadter;;;TheBigBangTheory.Season01.Episode10;1;8
8;in;;ADP;IN;prep;[48, 50];in;leonard_hofstadter;;;TheBigBangTheory.Season01.Episode10;1;9
9;the;;DET;DT;det;[51, 54];the;leonard_hofstadter;;;TheBigBangTheory.Season01.Episode10;1;10
10;future;;NOUN;NN;pobj;[55, 61];future;leonard_hofstadter;;;TheBigBangTheory.Season01.Episode10;1;11
11;by;;ADP;IN;agent;[62, 64];by;leonard_hofstadter;;;TheBigBangTheory.Season01.Episode10;1;12
12;Skynet;;PROPN;NNP;pobj;[65, 71];Skynet;leonard_hofstadter;ORG;;TheBigBangTheory.Season01.Episode10;1;13
13;,;;PUNCT;,;punct;[72, 73];,;leonard_hofstadter;;;TheBigBangTheory.Season01.Episode10;1;14
14;and;;CCONJ;CC;cc;[74, 77];and;leonard_hofstadter;;;TheBigBangTheory.Season01.Episode10;1;15
15;Skynet;;PROPN;NNP;nsubjpass;[78, 84];Skynet;leonard_hofstadter;ORG;;TheBigBangTheory.Season01.Episode10;1;16
16;was;;AUX;VBD;auxpass;[85, 88];wa;leonard_hofstadter;;;TheBigBangTheory.Season01.Episode10;1;17
17;developed;;VERB;VBN;conj;[89, 98];developed;leonard_hofstadter;;;TheBigBangTheory.Season01.Episode10;1;18
18;by;;ADP;IN;agent;[99, 101];by;leonard_hofstadter;;;TheBigBangTheory.Season01.Episode10;1;19
19;Miles;;PROPN;NNP;compound;[102, 107];Miles;leonard_hofstadter;;;TheBigBangTheory.Season01.Episode10;1;20
20;Dyson;;PROPN;NNP;pobj;[108, 113];Dyson;leonard_hofstadter;ORG;;TheBigBangTheory.Season01.Episode10;1;21
21;,;;PUNCT;,;punct;[114, 115];,;leonard_hofstadter;;;TheBigBangTheory.Season01.Episode10;1;22
22;but;;CCONJ;CC;cc;[116, 119];but;leonard_hofstadter;;;TheBigBangTheory.Season01.Episode10;1;23
23;that;;DET;DT;mark;[120, 124];that;leonard_hofstadter;;;TheBigBangTheory.Season01.Episode10;1;24
24;future;;NOUN;NN;nsubj;[125, 131];future;leonard_hofstadter;;;TheBigBangTheory.Season01.Episode10;1;25
25;no;;ADV;RB;neg;[132, 134];no;leonard_hofstadter;;;TheBigBangTheory.Season01.Episode10;1;26
26;longer;;ADV;RBR;advmod;[135, 141];longer;leonard_hofstadter;;;TheBigBangTheory.Season01.Episode10;1;27
27;exists;;VERB;VBZ;conj;[142, 148];exists;leonard_hofstadter;;;TheBigBangTheory.Season01.Episode10;1;28
28;,;;PUNCT;,;punct;[149, 150];,;leonard_hofstadter;;;TheBigBangTheory.Season01.Episode10;1;29
29;due;;ADP;IN;prep;[151, 154];due;leonard_hofstadter;;;TheBigBangTheory.Season01.Episode10;1;30
30;to;;ADP;IN;pcomp;[155, 157];to;leonard_hofstadter;;;TheBigBangTheory.Season01.Episode10;1;31
31;Dyson;;PROPN;NNP;poss;[158, 163];Dyson;leonard_hofstadter;ORG;;TheBigBangTheory.Season01.Episode10;1;32
32;'s;;PART;POS;case;[164, 166];'s;leonard_hofstadter;;;TheBigBangTheory.Season01.Episode10;1;33
33;death;;NOUN;NN;pobj;[167, 172];death;leonard_hofstadter;;;TheBigBangTheory.Season01.Episode10;1;34
34;in;;ADP;IN;prep;[173, 175];in;leonard_hofstadter;;;TheBigBangTheory.Season01.Episode10;1;35
35;Terminator;;PROPN;NNP;pobj;[176, 186];Terminator;leonard_hofstadter;;;TheBigBangTheory.Season01.Episode10;1;36
36;2;;NUM;CD;nummod;[187, 188];2;leonard_hofstadter;CARDINAL;;TheBigBangTheory.Season01.Episode10;1;37
37;.;;PUNCT;.;punct;[189, 190];.;leonard_hofstadter;;;TheBigBangTheory.Season01.Episode10;1;38
38;;;;;;;;;;;;;
39;sheldon_cooper Okay;;INTJ;UH;intj;[0, 4];Okay;sheldon_cooper;;;TheBigBangTheory.Season01.Episode10;2;1
40;,;;PUNCT;,;punct;[5, 6];,;sheldon_cooper;;;TheBigBangTheory.Season01.Episode10;2;2
41;then;;ADV;RB;advmod;[7, 11];then;sheldon_cooper;;;TheBigBangTheory.Season01.Episode10;2;3
42;riddle;;VERB;VB;ROOT;[12, 18];riddle;sheldon_cooper;;;TheBigBangTheory.Season01.Episode10;2;4
43;me;sheldon_cooper;PRON;PRP;dative;[19, 21];me;sheldon_cooper;;1;TheBigBangTheory.Season01.Episode10;2;5
44;this;;DET;DT;dobj;[22, 26];this;sheldon_cooper;;;TheBigBangTheory.Season01.Episode10;2;6
45;.;;PUNCT;.;punct;[27, 28];.;sheldon_cooper;;;TheBigBangTheory.Season01.Episode10;2;7
46;Assuming;;VERB;VBG;ROOT;[29, 37];Assuming;sheldon_cooper;;;TheBigBangTheory.Season01.Episode10;2;8
47;all;;DET;PDT;predet;[38, 41];all;sheldon_cooper;;;TheBigBangTheory.Season01.Episode10;2;9
48;the;;DET;DT;det;[42, 45];the;sheldon_cooper;;;TheBigBangTheory.Season01.Episode10;2;10
49;good;;ADJ;JJ;amod;[46, 50];good;sheldon_cooper;;;TheBigBangTheory.Season01.Episode10;2;11
50;Terminators;;NOUN;NNS;nsubj;[51, 62];Terminators;sheldon_cooper;ORG;;TheBigBangTheory.Season01.Episode10;2;12
51;were;;AUX;VBD;ccomp;[63, 67];were;sheldon_cooper;;;TheBigBangTheory.Season01.Episode10;2;13
52;originally;;ADV;RB;advmod;[68, 78];originally;sheldon_cooper;;;TheBigBangTheory.Season01.Episode10;2;14
53;evil;;ADJ;JJ;amod;[79, 83];evil;sheldon_cooper;;;TheBigBangTheory.Season01.Episode10;2;15
