uri,TP,TN,FP,FN
TheBigBangTheory.Season01.Episode01,42,0,10,11
TheBigBangTheory.Season01.Episode02,39,0,4,21
TheBigBangTheory.Season01.Episode03,57,0,8,12
TheBigBangTheory.Season01.Episode04,46,0,3,16
TheBigBangTheory.Season01.Episode05,71,0,6,23
TheBigBangTheory.Season01.Episode06,54,0,3,50
TheBigBangTheory.Season01.Episode07,49,0,33,17
TheBigBangTheory.Season01.Episode08,23,0,66,9
TheBigBangTheory.Season01.Episode09,27,0,5,15
TheBigBangTheory.Season01.Episode10,79,0,5,20
TheBigBangTheory.Season01.Episode11,51,0,7,16
TheBigBangTheory.Season01.Episode12,77,0,3,16
TheBigBangTheory.Season01.Episode13,73,0,16,23
TheBigBangTheory.Season01.Episode14,47,0,7,12
TheBigBangTheory.Season01.Episode15,67,0,7,18
TheBigBangTheory.Season01.Episode16,49,0,9,14
TheBigBangTheory.Season01.Episode17,56,0,28,19
TheBigBangTheory,907,0,220,312
