reference to typhoid mary	1.0
sleeping on a couch	Non
nymphomaniac	Non
slut	Non
woman wearing lingerie	Non
clue	Non
drinking from a flask	Non
experimental physicist	Non
theoretical physicist	Non
writing on hand	Non
giggling	Non
woman undressing for a man	Non
noise cancelling headphones	Non
character says 'bazinga'	Non
tour of room	Non
sneezing	Non
threesome	Non
pizza delivery boy cliche	Non
reading	Non
book	Non
reference to angelina jolie	Non
reference to brad pitt	Non
sneeze	Non
sex game	Non
role playing	Non
nyquil	Non
alarm clock	Non
author	Non
yogurt	Non
maxi pad	Non
woman undressing	0.0
pink bra	0.0
foursome	0.0
woman initiating sex	0.0
female nudity	0.0
