high five left hanging	1.0
comic book store	Non
flashback	Non
laptop	Non
baby's room	Non
baby monitor	Non
yelling	Non
falling off a chair	Non
flash drive	Non
bitcoin	Non
drunkenness	Non
candy bar	Non
mining	Non
reference to bitcoin	Non
spitting out food	Non
reference to kesha	Non
grudge	Non
waitress	Non
cheesecake factory restaurant	Non
ex boyfriend ex girlfriend relationship	Non
reference to star wars	Non
star wars reference	Non
reference to darth vader	Non
high five	Non
video message	Non
talking through a door	Non
husband wife conflict	Non
calling someone a jackass	Non
revenge	Non
reference to batman	Non
lost property	Non
sweeping a floor	Non
