;Unnamed: 0;token;referenceTo;POS;TAG;dep;idChar;lemma;speaker;entityType;idEntity;idDoc;idSent;idWord;labelDoccano
0;0;michael_scott Hey;;INTJ;UH;intj;[0, 3];Hey;michael_scott;;;TheOffice.Season01.Episode02;1.0;1.0;
1;1;,;;PUNCT;,;punct;[4, 5];,;michael_scott;;;TheOffice.Season01.Episode02;1.0;2.0;
2;2;uh;;INTJ;UH;intj;[6, 8];uh;michael_scott;;;TheOffice.Season01.Episode02;1.0;3.0;
3;3;,;;PUNCT;,;punct;[9, 10];,;michael_scott;;;TheOffice.Season01.Episode02;1.0;4.0;
4;4;can;;VERB;MD;aux;[11, 14];can;michael_scott;;;TheOffice.Season01.Episode02;1.0;5.0;
5;5;I;michael_scott;PRON;PRP;nsubj;[15, 16];I;michael_scott;;1.0;TheOffice.Season01.Episode02;1.0;6.0;michael_scott
6;6;help;;VERB;VB;ROOT;[17, 21];help;michael_scott;;;TheOffice.Season01.Episode02;1.0;7.0;
7;7;you;;PRON;PRP;dobj;[22, 25];you;michael_scott;;;TheOffice.Season01.Episode02;1.0;8.0;
8;8;out;;ADP;RP;prt;[26, 29];out;michael_scott;;;TheOffice.Season01.Episode02;1.0;9.0;
9;9;in;;ADV;RB;prep;[30, 32];in;michael_scott;;;TheOffice.Season01.Episode02;1.0;10.0;
10;10;here;;ADV;RB;pcomp;[33, 37];here;michael_scott;;;TheOffice.Season01.Episode02;1.0;11.0;
11;11;?;;PUNCT;.;punct;[38, 39];?;michael_scott;;;TheOffice.Season01.Episode02;1.0;12.0;
12;12;;;;;;;;;;;;;;
13;13;mr_brown Brown;mr_brown;PROPN;NNP;ROOT;[0, 5];Brown;mr_brown;PERSON;2.0;TheOffice.Season01.Episode02;2.0;1.0;
14;14;Oh;;INTJ;UH;intj;[6, 8];Oh;mr_brown;;;TheOffice.Season01.Episode02;2.0;2.0;
15;15;,;;PUNCT;,;punct;[9, 10];,;mr_brown;;;TheOffice.Season01.Episode02;2.0;3.0;
16;16;I;mr_brown;PRON;PRP;nsubjpass;[11, 12];I;mr_brown;;3.0;TheOffice.Season01.Episode02;2.0;4.0;mr_brown
17;17;'m;;AUX;VBP;auxpass;[13, 15];'m;mr_brown;;;TheOffice.Season01.Episode02;2.0;5.0;
18;18;all;;ADV;RB;advmod;[16, 19];all;mr_brown;;;TheOffice.Season01.Episode02;2.0;6.0;
19;19;set;;VERB;VBN;ROOT;[20, 23];set;mr_brown;;;TheOffice.Season01.Episode02;2.0;7.0;
20;20;,;;PUNCT;,;punct;[24, 25];,;mr_brown;;;TheOffice.Season01.Episode02;2.0;8.0;
21;21;thanks;;NOUN;NNS;npadvmod;[26, 32];thanks;mr_brown;;;TheOffice.Season01.Episode02;2.0;9.0;
22;22;.;;PUNCT;.;punct;[33, 34];.;mr_brown;;;TheOffice.Season01.Episode02;2.0;10.0;
23;23;;;;;;;;;;;;;;
