	idSent	idChar	label
0	1	[0, 3]	pam_beesly
1	1	[15, 18]	pam_beesly
2	1	[6, 12]	pam_beesly
3	2	[0, 1]	pam_beesly
4	3		
5	4		
6	5	[12, 14]	michael_scott
7	6		
8	7	[17, 20]	pam_beesly
9	8	[8, 11]	michael_scott
10	8	[17, 19]	pam_beesly
11	8	[48, 49]	pam_beesly
12	8	[55, 58]	michael_scott
13	9	[22, 23]	michael_scott
14	9	[51, 53]	michael_scott
15	9	[64, 66]	michael_scott
16	9	[76, 77]	michael_scott
17	9	[96, 97]	michael_scott
18	9	[154, 155]	michael_scott
19	9	[176, 177]	michael_scott
20	9	[289, 291]	michael_scott
21	10	[28, 31]	michael_scott
22	11	[0, 1]	michael_scott
23	11	[38, 39]	michael_scott
24	11	[113, 116]	jan_levinson
25	11	[33, 37]	jan_levinson
26	12	[63, 66]	michael_scott
27	12	[90, 97]	michael_scott
28	13	[0, 1]	michael_scott
29	13	[15, 18]	jan_levinson
30	14	[16, 17]	jan_levinson
31	15	[7, 8]	michael_scott
32	16	[0, 7]	michael_scott
33	17	[0, 3]	jan_levinson
34	18	[0, 3]	michael_scott
35	18	[31, 33]	multiple_persons
36	18	[73, 76]	michael_scott
37	19		
38	20	[6, 10]	michael_scott
39	21	[33, 36]	jan_levinson
40	22	[0, 7]	michael_scott
41	22	[26, 27]	jan_levinson
42	23		
43	24	[27, 35]	michael_scott
44	24	[85, 86]	jan_levinson
45	25	[10, 13]	jan_levinson
46	26	[0, 1]	jan_levinson
47	26	[29, 32]	michael_scott
48	27	[50, 53]	pam_beesly
49	28	[5, 6]	pam_beesly
50	29		
51	30	[0, 3]	jim_halpert
52	31	[31, 33]	jim_halpert
53	32	[4, 8]	jim_halpert
54	33	[0, 5]	jim_halpert
55	34	[48, 49]	michael_scott
56	34	[92, 93]	michael_scott
57	34	[110, 113]	jim_halpert
58	34	[142, 145]	multiple_persons
59	34	[176, 180]	jim_halpert
60	35		
61	36		
62	37	[36, 37]	jim_halpert
63	37	[51, 52]	jim_halpert
64	38		
65	39	[7, 8]	jim_halpert
66	39	[59, 60]	jim_halpert
67	39	[82, 85]	michael_scott
68	40	[9, 16]	michael_scott
69	40	[22, 24]	jim_halpert
70	40	[42, 43]	jim_halpert
71	40	[63, 69]	dwight_schrute
72	40	[54, 57]	michael_scott
73	41	[6, 7]	dwight_schrute
74	41	[20, 21]	dwight_schrute
75	41	[25, 29]	michael_scott
76	42	[36, 37]	jim_halpert
77	42	[92, 94]	jim_halpert
78	42	[133, 135]	jim_halpert
79	42	[145, 146]	jim_halpert
80	42	[164, 170]	jim_halpert
81	43	[66, 67]	dwight_schrute
82	44	[12, 15]	dwight_schrute
83	45	[5, 7]	multiple_persons
84	45	[50, 51]	dwight_schrute
85	45	[73, 74]	dwight_schrute
86	46	[0, 3]	dwight_schrute
87	47	[6, 7]	dwight_schrute
88	47	[37, 40]	jim_halpert
89	48	[7, 10]	dwight_schrute
90	49	[5, 6]	dwight_schrute
91	50	[22, 25]	dwight_schrute
92	51		
93	52	[3, 9]	dwight_schrute
94	52	[57, 59]	michael_scott
95	52	[171, 172]	michael_scott
96	52	[178, 179]	michael_scott
97	52	[194, 195]	michael_scott
98	52	[246, 248]	multiple_persons
99	52	[82, 85]	dwight_schrute
100	52	[111, 113]	dwight_schrute
101	52	[132, 135]	multiple_persons
102	52	[188, 191]	dwight_schrute
103	52	[201, 204]	dwight_schrute
104	52	[210, 212]	dwight_schrute
105	52	[231, 233]	dwight_schrute
106	53	[9, 10]	dwight_schrute
107	53	[16, 17]	dwight_schrute
108	53	[22, 24]	dwight_schrute
109	53	[31, 32]	dwight_schrute
110	53	[64, 65]	dwight_schrute
111	53	[97, 98]	dwight_schrute
112	53	[119, 120]	dwight_schrute
113	54	[81, 82]	dwight_schrute
114	54	[88, 90]	dwight_schrute
115	54	[97, 98]	dwight_schrute
116	54	[124, 126]	dwight_schrute
117	54	[131, 132]	dwight_schrute
118	54	[155, 156]	dwight_schrute
119	54	[171, 172]	dwight_schrute
120	54	[187, 190]	multiple_persons
121	55		
122	56	[25, 28]	pam_beesly
123	57	[0, 3]	pam_beesly
124	57	[6, 13]	michael_scott
125	57	[14, 19]	michael_scott
126	58	[10, 13]	michael_scott
127	59	[5, 6]	michael_scott
128	59	[13, 15]	michael_scott
129	59	[25, 26]	michael_scott
130	59	[40, 41]	michael_scott
131	59	[58, 60]	michael_scott
132	59	[66, 67]	michael_scott
133	59	[111, 112]	michael_scott
134	60	[44, 50]	dwight_schrute
135	61	[0, 3]	pam_beesly
136	61	[20, 21]	michael_scott
137	61	[33, 34]	michael_scott
138	61	[46, 47]	michael_scott
139	61	[50, 51]	michael_scott
140	61	[54, 55]	michael_scott
141	61	[58, 59]	michael_scott
142	61	[72, 73]	michael_scott
143	62	[3, 6]	michael_scott
144	63	[0, 1]	michael_scott
145	63	[28, 29]	michael_scott
146	63	[41, 43]	michael_scott
147	63	[51, 54]	pam_beesly
148	63	[99, 101]	michael_scott
149	63	[138, 139]	michael_scott
150	63	[173, 176]	pam_beesly
151	63	[184, 185]	michael_scott
152	63	[203, 204]	michael_scott
153	64		
154	65	[28, 30]	multiple_persons
155	65	[54, 55]	michael_scott
156	66		
157	67	[0, 6]	dwight_schrute
158	68		
159	69		
160	70		
161	71	[39, 42]	dwight_schrute
162	72	[47, 51]	jim_halpert
163	73	[0, 3]	dwight_schrute
164	73	[12, 14]	jim_halpert
165	74	[21, 22]	dwight_schrute
166	75	[0, 1]	jim_halpert
167	76	[5, 11]	dwight_schrute
168	76	[18, 21]	dwight_schrute
169	77	[10, 12]	dwight_schrute
