;token;referenceTo;POS;TAG;dep;idChar;lemma;speaker;entityType;idEntity;idDoc;idSent;idWord
0;michael_scott Hey;;INTJ;UH;intj;[0, 3];Hey;michael_scott;;;TheOffice.Season01.Episode05;1;1
1;,;;PUNCT;,;punct;[4, 5];,;michael_scott;;;TheOffice.Season01.Episode05;1;2
2;you;;PRON;PRP;nsubj;[6, 9];you;michael_scott;;;TheOffice.Season01.Episode05;1;3
3;ready;;ADJ;JJ;ROOT;[10, 15];ready;michael_scott;;;TheOffice.Season01.Episode05;1;4
4;?;;PUNCT;.;punct;[16, 17];?;michael_scott;;;TheOffice.Season01.Episode05;1;5
5;;;;;;;;;;;;;
6;michael_scott All;;ADV;RB;advmod;[0, 3];All;michael_scott;;;TheOffice.Season01.Episode05;2;1
7;right;;ADV;RB;amod;[4, 9];right;michael_scott;;;TheOffice.Season01.Episode05;2;2
8;,;;PUNCT;,;punct;[10, 11];,;michael_scott;;;TheOffice.Season01.Episode05;2;3
9;all;;ADV;RB;advmod;[12, 15];all;michael_scott;;;TheOffice.Season01.Episode05;2;4
10;right;;ADJ;JJ;amod;[16, 21];right;michael_scott;;;TheOffice.Season01.Episode05;2;5
11;,;;PUNCT;,;punct;[22, 23];,;michael_scott;;;TheOffice.Season01.Episode05;2;6
12;secret;;ADJ;JJ;amod;[24, 30];secret;michael_scott;;;TheOffice.Season01.Episode05;2;7
13;sign;;NOUN;NN;ROOT;[31, 35];sign;michael_scott;;;TheOffice.Season01.Episode05;2;8
14;.;;PUNCT;.;punct;[36, 37];.;michael_scott;;;TheOffice.Season01.Episode05;2;9
15;Hey;;INTJ;UH;ROOT;[38, 41];Hey;michael_scott;;;TheOffice.Season01.Episode05;2;10
16;,;;PUNCT;,;punct;[42, 43];,;michael_scott;;;TheOffice.Season01.Episode05;2;11
17;Ryan;ryan_howard;PROPN;NNP;npadvmod;[44, 48];Ryan;michael_scott;PERSON;1;TheOffice.Season01.Episode05;2;12
18;.;;PUNCT;.;punct;[49, 50];.;michael_scott;;;TheOffice.Season01.Episode05;2;13
19;Very;;ADV;RB;advmod;[51, 55];Very;michael_scott;;;TheOffice.Season01.Episode05;2;14
20;good;;ADJ;JJ;ROOT;[56, 60];good;michael_scott;;;TheOffice.Season01.Episode05;2;15
21;.;;PUNCT;.;punct;[61, 62];.;michael_scott;;;TheOffice.Season01.Episode05;2;16
22;Excellent;;ADJ;JJ;amod;[63, 72];Excellent;michael_scott;;;TheOffice.Season01.Episode05;2;17
23;,;;PUNCT;,;punct;[73, 74];,;michael_scott;;;TheOffice.Season01.Episode05;2;18
24;excellent;;ADJ;JJ;ROOT;[75, 84];excellent;michael_scott;;;TheOffice.Season01.Episode05;2;19
25;.;;PUNCT;.;punct;[85, 86];.;michael_scott;;;TheOffice.Season01.Episode05;2;20
26;;;;;;;;;;;;;
27;dwight_schrute Michael;michael_scott;PROPN;NNP;ROOT;[0, 7];Michael;dwight_schrute;PERSON;2;TheOffice.Season01.Episode05;3;1
28;!;;PUNCT;.;punct;[8, 9];!;dwight_schrute;;;TheOffice.Season01.Episode05;3;2
29;;;;;;;;;;;;;
30;michael_scott Today;;NOUN;NN;npadvmod;[0, 5];Today;michael_scott;;;TheOffice.Season01.Episode05;4;1
31;at;;ADP;IN;prep;[6, 8];at;michael_scott;;;TheOffice.Season01.Episode05;4;2
32;lunchtime;;PROPN;NNP;pobj;[9, 18];lunchtime;michael_scott;;;TheOffice.Season01.Episode05;4;3
33;we;multiple_persons;PRON;PRP;nsubj;[19, 21];we;michael_scott;;3;TheOffice.Season01.Episode05;4;4
34;'re;;AUX;VBP;aux;[22, 25];'re;michael_scott;;;TheOffice.Season01.Episode05;4;5
35;going;;VERB;VBG;ROOT;[26, 31];going;michael_scott;;;TheOffice.Season01.Episode05;4;6
36;to;;PART;TO;aux;[32, 34];to;michael_scott;;;TheOffice.Season01.Episode05;4;7
