;Unnamed: 0;token;referenceTo;POS;TAG;dep;idChar;lemma;speaker;entityType;idEntity;idDoc;idSent;idWord;labelDoccano
0;0;rick_grimes I;rick_grimes;PRON;PRP;nsubj;[0, 1];I;rick_grimes;;1.0;TheWalkingDead.Season02.Episode01;1.0;1.0;rick_grimes
1;1;guess;;VERB;VBP;ROOT;[2, 7];guess;rick_grimes;;;TheWalkingDead.Season02.Episode01;1.0;2.0;
2;2;I;rick_grimes;PRON;PRP;nsubj;[8, 9];I;rick_grimes;;2.0;TheWalkingDead.Season02.Episode01;1.0;3.0;rick_grimes
3;3;'m;;AUX;VBP;aux;[10, 12];'m;rick_grimes;;;TheWalkingDead.Season02.Episode01;1.0;4.0;
4;4;losing;;VERB;VBG;ccomp;[13, 19];losing;rick_grimes;;;TheWalkingDead.Season02.Episode01;1.0;5.0;
5;5;hope;;NOUN;NN;dobj;[20, 24];hope;rick_grimes;;;TheWalkingDead.Season02.Episode01;1.0;6.0;
6;6;that;;SCONJ;IN;mark;[25, 29];that;rick_grimes;;;TheWalkingDead.Season02.Episode01;1.0;7.0;
7;7;you;;PRON;PRP;nsubj;[30, 33];you;rick_grimes;;;TheWalkingDead.Season02.Episode01;1.0;8.0;
8;8;can;;VERB;MD;aux;[34, 37];can;rick_grimes;;;TheWalkingDead.Season02.Episode01;1.0;9.0;
9;9;hear;;VERB;VB;acl;[38, 42];hear;rick_grimes;;;TheWalkingDead.Season02.Episode01;1.0;10.0;
10;10;me;rick_grimes;PRON;PRP;dobj;[43, 45];me;rick_grimes;;3.0;TheWalkingDead.Season02.Episode01;1.0;11.0;rick_grimes
11;11;.;;PUNCT;.;punct;[46, 47];.;rick_grimes;;;TheWalkingDead.Season02.Episode01;1.0;12.0;
12;12;But;;CCONJ;CC;cc;[48, 51];But;rick_grimes;;;TheWalkingDead.Season02.Episode01;1.0;13.0;
13;13;there;;PRON;EX;expl;[52, 57];there;rick_grimes;;;TheWalkingDead.Season02.Episode01;1.0;14.0;
14;14;'s;;AUX;VBZ;ccomp;[58, 60];'s;rick_grimes;;;TheWalkingDead.Season02.Episode01;1.0;15.0;
15;15;always;;ADV;RB;advmod;[61, 67];always;rick_grimes;;;TheWalkingDead.Season02.Episode01;1.0;16.0;
16;16;that;;DET;DT;det;[68, 72];that;rick_grimes;;;TheWalkingDead.Season02.Episode01;1.0;17.0;
17;17;chance;;NOUN;NN;attr;[73, 79];chance;rick_grimes;;;TheWalkingDead.Season02.Episode01;1.0;18.0;
18;18;,;;PUNCT;,;punct;[80, 81];,;rick_grimes;;;TheWalkingDead.Season02.Episode01;1.0;19.0;
19;19;is;;AUX;VBZ;ROOT;[82, 84];is;rick_grimes;;;TheWalkingDead.Season02.Episode01;1.0;20.0;
20;20;n't;;PART;RB;neg;[85, 88];n't;rick_grimes;;;TheWalkingDead.Season02.Episode01;1.0;21.0;
21;21;there;;ADV;RB;advmod;[89, 94];there;rick_grimes;;;TheWalkingDead.Season02.Episode01;1.0;22.0;
22;22;?;;PUNCT;.;punct;[95, 96];?;rick_grimes;;;TheWalkingDead.Season02.Episode01;1.0;23.0;
23;23;That;;DET;DT;det;[97, 101];That;rick_grimes;;;TheWalkingDead.Season02.Episode01;1.0;24.0;
24;24;slim;;ADJ;JJ;amod;[102, 106];slim;rick_grimes;;;TheWalkingDead.Season02.Episode01;1.0;25.0;
25;25;chance;;NOUN;NN;ROOT;[107, 113];chance;rick_grimes;;;TheWalkingDead.Season02.Episode01;1.0;26.0;
26;26;.;;PUNCT;.;punct;[114, 115];.;rick_grimes;;;TheWalkingDead.Season02.Episode01;1.0;27.0;
27;27;It;;PRON;PRP;nsubj;[116, 118];It;rick_grimes;;;TheWalkingDead.Season02.Episode01;1.0;28.0;
28;28;'s;;AUX;VBZ;ROOT;[119, 121];'s;rick_grimes;;;TheWalkingDead.Season02.Episode01;1.0;29.0;
29;29;all;;DET;DT;advmod;[122, 125];all;rick_grimes;;;TheWalkingDead.Season02.Episode01;1.0;30.0;
30;30;about;;ADP;IN;prep;[126, 131];about;rick_grimes;;;TheWalkingDead.Season02.Episode01;1.0;31.0;
31;31;slim;;ADJ;JJ;amod;[132, 136];slim;rick_grimes;;;TheWalkingDead.Season02.Episode01;1.0;32.0;
32;32;chances;;NOUN;NNS;pobj;[137, 144];chance;rick_grimes;;;TheWalkingDead.Season02.Episode01;1.0;33.0;
33;33;now;;ADV;RB;advmod;[145, 148];now;rick_grimes;;;TheWalkingDead.Season02.Episode01;1.0;34.0;
34;34;.;;PUNCT;.;punct;[149, 150];.;rick_grimes;;;TheWalkingDead.Season02.Episode01;1.0;35.0;
35;35;I;rick_grimes;PRON;PRP;nsubj;[151, 152];I;rick_grimes;;4.0;TheWalkingDead.Season02.Episode01;1.0;36.0;rick_grimes
36;36;tried;;VERB;VBD;ROOT;[153, 158];tried;rick_grimes;;;TheWalkingDead.Season02.Episode01;1.0;37.0;
37;37;to;;PART;TO;aux;[159, 161];to;rick_grimes;;;TheWalkingDead.Season02.Episode01;1.0;38.0;
