;token;referenceTo;POS;TAG;dep;idChar;lemma;speaker;entityType;idEntity;idDoc;idSent;idWord
0;sophia Are;;AUX;VBP;aux;[0, 3];Are;sophia;;;TheWalkingDead.Season02.Episode05;1;1
1;we;multiple_persons;PRON;PRP;nsubj;[4, 6];we;sophia;;1;TheWalkingDead.Season02.Episode05;1;2
2;gon;;VERB;VBG;ROOT;[7, 10];gon;sophia;;;TheWalkingDead.Season02.Episode05;1;3
3;na;;PART;TO;aux;[11, 13];na;sophia;;;TheWalkingDead.Season02.Episode05;1;4
4;go;;VERB;VB;xcomp;[14, 16];go;sophia;;;TheWalkingDead.Season02.Episode05;1;5
5;soon;;ADV;RB;advmod;[17, 21];soon;sophia;;;TheWalkingDead.Season02.Episode05;1;6
6;?;;PUNCT;.;punct;[22, 23];?;sophia;;;TheWalkingDead.Season02.Episode05;1;7
7;;;;;;;;;;;;;
8;carol_peletier I;carol_peletier;PRON;PRP;nsubj;[0, 1];I;carol_peletier;;2;TheWalkingDead.Season02.Episode05;2;1
9;do;;AUX;VBP;aux;[2, 4];do;carol_peletier;;;TheWalkingDead.Season02.Episode05;2;2
10;n't;;PART;RB;neg;[5, 8];n't;carol_peletier;;;TheWalkingDead.Season02.Episode05;2;3
11;know;;VERB;VB;ROOT;[9, 13];know;carol_peletier;;;TheWalkingDead.Season02.Episode05;2;4
12;,;;PUNCT;,;punct;[14, 15];,;carol_peletier;;;TheWalkingDead.Season02.Episode05;2;5
13;baby;;NOUN;NN;npadvmod;[16, 20];baby;carol_peletier;;;TheWalkingDead.Season02.Episode05;2;6
14;.;;PUNCT;.;punct;[21, 22];.;carol_peletier;;;TheWalkingDead.Season02.Episode05;2;7
15;I;carol_peletier;PRON;PRP;nsubj;[23, 24];I;carol_peletier;;3;TheWalkingDead.Season02.Episode05;2;8
16;sure;;ADV;RB;advmod;[25, 29];sure;carol_peletier;;;TheWalkingDead.Season02.Episode05;2;9
17;hope;;VERB;VBP;ROOT;[30, 34];hope;carol_peletier;;;TheWalkingDead.Season02.Episode05;2;10
18;so;;ADV;RB;advmod;[35, 37];so;carol_peletier;;;TheWalkingDead.Season02.Episode05;2;11
19;.;;PUNCT;.;punct;[38, 39];.;carol_peletier;;;TheWalkingDead.Season02.Episode05;2;12
20;;;;;;;;;;;;;
21;carl_grimes I;carl_grimes;PRON;PRP;nsubj;[0, 1];I;carl_grimes;;4;TheWalkingDead.Season02.Episode05;3;1
22;'m;;AUX;VBP;ROOT;[2, 4];'m;carl_grimes;;;TheWalkingDead.Season02.Episode05;3;2
23;hungry;;ADJ;JJ;acomp;[5, 11];hungry;carl_grimes;;;TheWalkingDead.Season02.Episode05;3;3
