returning character killed off	0.5
silent scream	Non
climbing a tree	Non
gun held to head	Non
held at knifepoint	Non
frightened boy	Non
frightened child	Non
mullet haircut	Non
barricading door	Non
katana sword	Non
character says i love you	Non
machete	Non
falling wall	Non
collapsing tower	Non
child's drawing	Non
ant	Non
motorcycle gang	Non
scene after end credits	Non
kidnapping	Non
threatened with a knife	Non
home invasion	Non
kicked in the face	Non
covered in blood	Non
knife	Non
intestines	Non
disembowelment	Non
stabbed to death	Non
stabbed in the head	Non
garage	Non
baby	Non
hatchet	Non
child in peril	Non
slow motion scene	Non
decapitation	Non
priest	Non
shot in the head	Non
foot chase	Non
bite mark	Non
impalement	Non
shot in the face	Non
shot in the chest	Non
shot in the forehead	Non
building collapse	Non
one day	Non
title spoken by character	Non
shot to death	0.0
