tied feet	1.0
bound and gagged	0.5
gagged	Non
secretary	Non
calling someone an idiot	Non
slaughterhouse	Non
calling someone stupid	Non
telling someone to shut up	Non
tourniquet	Non
arm wound	Non
woman smoker	Non
second hand smoke	Non
calling someone a shithead	Non
hyperventilating	Non
bound with duct tape	Non
calling someone a bitch	Non
redheaded woman	Non
binocular vision	Non
episode title spoken by character	Non
one day	Non
returning character killed off	Non
shot in the forehead	Non
burned alive	Non
eaten alive	Non
shot to death	Non
bitten in the face	Non
shot in the shoulder	Non
shot in the head	Non
impalement	Non
covered in blood	Non
pistol whip	Non
head bashed in	Non
beaten to death	Non
blood on camera lens	Non
bitten on the arm	Non
stabbed in the forehead	Non
cigarette smoking	Non
tattoo	Non
severed finger	Non
coughing blood	Non
rosary	Non
walkie talkie	Non
stabbed to death	Non
stabbed in the head	Non
hostage	Non
binoculars	Non
subjective camera	Non
character's point of view camera shot	Non
shot in the arm	Non
slow motion scene	Non
flashback	Non
knocked out	Non
man slaps a woman	Non
head butt	Non
