bound and gagged	1.0
female in a shower	Non
looking at oneself in a mirror	Non
male in a shower	Non
woman wearing a flannel shirt	Non
shower	Non
pregnancy	Non
haircut	Non
cigar smoking	Non
hidden gun	Non
cardinal direction in episode title	Non
teenage girl	Non
threatened with a gun	Non
shooting tires	Non
farewell note	Non
eating an apple	Non
interracial love relationship	Non
one eyed boy	Non
blood on camera lens	Non
kidnapping	Non
stabbed in the head	Non
burnt face	Non
facial scar	Non
forest	Non
severed arm	Non
shot in the shoulder	Non
letter	Non
stabbed in the forehead	Non
shot in the forehead	Non
impalement	Non
stabbed in the chest	Non
shot to death	Non
shot in the chest	Non
murder	Non
rosary	Non
close up of eyes	Non
character repeating someone else's dialogue	Non
bare chested male	Non
motorcycle	Non
nonlinear timeline	Non
dripping blood	Non
title spoken by character	Non
