chained together	1.0
directed by greg nicotero	Non
horse	Non
calling someone a bitch	Non
planet name in episode title	Non
season finale	Non
one eyed boy	Non
episode title spoken by character	Non
blood on camera lens	Non
subjective camera	Non
eeny meeny miny moe	Non
one day	Non
hit with a baseball bat	Non
child in peril	Non
child with gun	Non
returning character killed off	Non
murder	Non
shot in the leg	Non
shot in the arm	Non
man punching a woman	Non
whistling	Non
shot to death	Non
shot in the head	Non
shot in the face	Non
shot in the forehead	Non
stabbed in the head	Non
severed hand	Non
ambush	Non
trap	Non
stabbed to death	Non
stabbed in the forehead	Non
impalement	Non
death by hanging	Non
hanged man	Non
library	Non
character repeating someone else's dialogue	Non
pregnant woman	Non
corpse	Non
beating	Non
priest	Non
locked in a closet	Non
punched in the face	Non
forest	Non
recreational vehicle	Non
rosary	Non
horse riding	Non
